order_id,order_date,order_timestamp,order_hour,day_of_week,weekend_flag,shift,customer_id,store_id,rider_id,city,channel,payment_method,campaign,weather_condition,peak_hour_flag,order_status,items_ordered,items_fulfilled,stockout_line_items,subtotal_before_discount,item_discount_amount,order_discount_amount,delivery_fee,tax_amount,gross_order_value,refund_amount,net_revenue,gross_margin,distance_km,promised_delivery_minutes,picking_start_timestamp,picking_end_timestamp,packing_end_timestamp,rider_assigned_timestamp,dispatch_timestamp,delivered_timestamp,cancelled_timestamp,picking_minutes,packing_minutes,rider_assignment_minutes,travel_minutes,actual_delivery_minutes,sla_status,cancellation_stage,cancellation_reason,customer_rating
ORD0000011,2026-04-16,2026-04-16 17:15:17,17,Thursday,N,Evening,CUST004779,MFC007,RDR00078,Delhi NCR,Mobile Web,Credit/Debit Card,No Campaign,Clear,N,Delivered,1,1,0,61.54,2.36,0.0,25.0,1.48,85.66,0.0,85.66,21.6,2.22,28,2026-04-16 17:17:23,2026-04-16 17:19:26,2026-04-16 17:21:56,2026-04-16 17:19:50,2026-04-16 17:23:09,2026-04-16 17:34:08,,2.05,2.51,4.56,10.98,18.85,Within SLA,,,3.9
ORD0000012,2026-04-02,2026-04-02 23:33:57,23,Thursday,N,Night,CUST006734,MFC011,RDR00130,Mumbai,Android,Wallet,Free Delivery,Cloudy,N,Delivered,5,5,0,1348.13,39.0,0.0,0.0,32.73,1341.86,0.0,1341.86,384.17,1.12,28,2026-04-02 23:35:42,2026-04-02 23:42:38,2026-04-02 23:47:10,2026-04-02 23:34:33,2026-04-02 23:47:57,2026-04-02 23:52:56,,6.93,4.54,0.6,4.99,19.0,Within SLA,,,3.3
ORD0000013,2026-06-21,2026-06-21 21:06:19,21,Sunday,Y,Evening,CUST007611,MFC001,RDR00004,Bengaluru,Android,UPI,No Campaign,Cloudy,Y,Partially Delivered,10,9,1,1817.88,116.69,0.0,0.0,42.53,1743.72,174.37,1569.35,408.11,1.93,28,2026-06-21 21:08:00,2026-06-21 21:20:14,2026-06-21 21:23:55,2026-06-21 21:12:02,2026-06-21 21:25:46,2026-06-21 21:36:07,,12.23,3.69,5.73,10.35,29.81,SLA Breach,,,2.1
ORD0000014,2026-06-27,2026-06-27 20:33:08,20,Saturday,Y,Evening,CUST006380,MFC007,,Delhi NCR,Mobile Web,UPI,No Campaign,Heavy Rain,Y,Cancelled,3,3,0,1375.25,34.89,0.0,0.0,33.51,1373.87,1373.87,0.0,393.97,3.42,45,,,,,,,2026-06-27 20:34:08,,,,,,Not Applicable,Before Picking,Customer Cancelled,
ORD0000015,2026-05-31,2026-05-31 21:58:19,21,Sunday,Y,Evening,CUST000787,MFC008,RDR00095,Delhi NCR,Android,UPI,No Campaign,Clear,Y,Delivered,10,10,0,1419.1,87.74,0.0,0.0,33.28,1364.64,0.0,1364.64,337.44,1.08,28,2026-05-31 22:01:05,2026-05-31 22:12:31,2026-05-31 22:16:11,2026-05-31 22:05:04,2026-05-31 22:17:12,2026-05-31 22:25:02,,11.43,3.67,6.76,7.83,26.72,Within SLA,,,3.9
ORD0000016,2026-06-28,2026-06-28 18:30:25,18,Sunday,Y,Evening,CUST005894,MFC010,RDR00115,Mumbai,iOS,UPI,Category Deal,Clear,Y,Delivered,4,4,0,408.52,56.03,0.0,25.0,8.81,386.3,0.0,386.3,93.32,0.32,28,2026-06-28 18:32:32,2026-06-28 18:38:42,2026-06-28 18:42:09,2026-06-28 18:34:34,2026-06-28 18:42:52,2026-06-28 18:49:01,,6.16,3.46,4.16,6.15,18.61,Within SLA,,,4.2
ORD0000017,2026-05-21,2026-05-21 19:01:53,19,Thursday,N,Evening,CUST004605,MFC006,,Delhi NCR,Android,Credit/Debit Card,Free Delivery,Cloudy,Y,Payment Failed,3,3,0,558.51,19.36,0.0,0.0,13.48,552.63,0.0,552.63,159.46,0.63,28,,,,,,,2026-05-21 19:03:11,,,,,,Not Applicable,Payment,Payment Timeout,
ORD0000018,2026-04-06,2026-04-06 18:35:28,18,Monday,N,Evening,CUST004206,MFC012,RDR00134,Hyderabad,Android,UPI,Free Delivery,Clear,Y,Delivered,6,6,0,859.38,71.25,0.0,0.0,19.7,807.83,0.0,807.83,146.55,1.44,28,2026-04-06 18:38:18,2026-04-06 18:42:23,2026-04-06 18:45:59,2026-04-06 18:40:32,2026-04-06 18:47:17,2026-04-06 18:57:07,,4.08,3.61,5.08,9.83,21.66,Within SLA,,,3.3
ORD0000019,2026-04-14,2026-04-14 09:36:59,9,Tuesday,N,Morning,CUST005525,MFC013,RDR00146,Hyderabad,iOS,UPI,Weekend Saver,Cloudy,Y,Delivered,8,8,0,3677.92,364.27,0.0,0.0,82.84,3396.49,0.0,3396.49,1071.03,1.1,28,2026-04-14 09:39:13,2026-04-14 09:49:45,2026-04-14 09:54:17,2026-04-14 09:41:02,2026-04-14 09:55:26,2026-04-14 10:04:50,,10.53,4.53,4.06,9.39,27.85,Within SLA,,,3.3
ORD0000020,2026-04-30,2026-04-30 08:38:12,8,Thursday,N,Morning,CUST001156,MFC011,RDR00126,Mumbai,Android,UPI,New User Offer,Clear,Y,Delivered,3,3,0,587.9,51.21,53.67,0.0,12.08,495.1,0.0,495.1,68.75,2.92,28,2026-04-30 08:40:48,2026-04-30 08:47:25,2026-04-30 08:49:23,2026-04-30 08:44:40,2026-04-30 08:51:02,2026-04-30 09:08:03,,6.63,1.96,6.48,17.02,29.86,SLA Breach,,,3.5
ORD0000021,2026-06-16,2026-06-16 07:08:53,7,Tuesday,N,Morning,CUST006004,MFC006,RDR00064,Delhi NCR,Android,UPI,No Campaign,Light Rain,N,Delivered,2,2,0,462.52,12.72,0.0,15.0,11.25,476.05,0.0,476.05,179.93,1.14,28,2026-06-16 07:12:27,2026-06-16 07:15:54,2026-06-16 07:19:15,2026-06-16 07:14:08,2026-06-16 07:21:17,2026-06-16 07:28:26,,3.45,3.35,5.26,7.15,19.56,Within SLA,,,3.7
ORD0000022,2026-04-10,2026-04-10 19:44:28,19,Friday,N,Evening,CUST004505,MFC004,RDR00048,Bengaluru,Android,Wallet,New User Offer,Cloudy,Y,Delivered,4,4,0,588.83,42.25,54.66,0.0,12.3,504.22,0.0,504.22,98.75,1.21,28,2026-04-10 19:44:58,2026-04-10 19:51:23,2026-04-10 19:54:49,2026-04-10 19:47:12,2026-04-10 19:56:40,2026-04-10 20:05:26,,6.42,3.44,2.74,8.76,20.97,Within SLA,,,4.2
ORD0000023,2026-05-18,2026-05-18 17:55:31,17,Monday,N,Evening,CUST007753,MFC004,RDR00048,Bengaluru,iOS,UPI,Weekend Saver,Cloudy,N,Delivered,3,3,0,1108.77,88.03,0.0,0.0,25.52,1046.26,0.0,1046.26,290.18,3.79,38,2026-05-18 17:57:45,2026-05-18 18:03:15,2026-05-18 18:07:25,2026-05-18 18:02:13,2026-05-18 18:08:39,2026-05-18 18:24:17,,5.5,4.16,6.71,15.63,28.77,Within SLA,,,3.6
ORD0000024,2026-05-05,2026-05-05 16:36:01,16,Tuesday,N,Evening,CUST001966,MFC009,RDR00099,Mumbai,iOS,Wallet,No Campaign,Clear,N,Delivered,1,1,0,490.74,22.85,0.0,15.0,11.7,494.59,0.0,494.59,85.18,1.36,28,2026-05-05 16:39:40,2026-05-05 16:41:40,2026-05-05 16:43:51,2026-05-05 16:40:58,2026-05-05 16:45:56,2026-05-05 16:53:53,,2.0,2.17,4.96,7.95,17.87,Within SLA,,,4.5
ORD0000025,2026-05-16,2026-05-16 06:49:21,6,Saturday,Y,Morning,CUST005090,MFC011,RDR00126,Mumbai,Android,UPI,Membership Offer,Clear,N,Delivered,12,12,0,1896.57,88.19,80.0,0.0,43.21,1771.59,0.0,1771.59,392.54,1.12,28,2026-05-16 06:52:24,2026-05-16 07:07:00,2026-05-16 07:12:30,2026-05-16 06:54:32,2026-05-16 07:13:34,2026-05-16 07:18:31,,14.6,5.5,5.2,4.95,29.18,SLA Breach,,,4.2
ORD0000026,2026-05-31,2026-05-31 13:05:00,13,Sunday,Y,Morning,CUST005610,MFC015,RDR00173,Chennai,Android,Wallet,No Campaign,Cloudy,Y,Delivered,4,4,0,1392.52,72.21,0.0,0.0,33.01,1353.32,0.0,1353.32,335.17,2.82,28,2026-05-31 13:07:02,2026-05-31 13:14:47,2026-05-31 13:18:25,2026-05-31 13:12:20,2026-05-31 13:19:34,2026-05-31 13:35:57,,7.75,3.63,7.35,16.38,30.96,SLA Breach,,,3.7
ORD0000027,2026-04-23,2026-04-23 08:15:32,8,Thursday,N,Morning,CUST002652,MFC003,RDR00028,Bengaluru,iOS,Wallet,No Campaign,Clear,Y,Delivered,6,6,0,1058.77,60.76,0.0,0.0,24.95,1022.96,0.0,1022.96,281.36,0.65,28,2026-04-23 08:16:34,2026-04-23 08:24:05,2026-04-23 08:27:43,2026-04-23 08:22:07,2026-04-23 08:29:17,2026-04-23 08:36:39,,7.52,3.63,6.59,7.35,21.12,Within SLA,,,3.0
ORD0000028,2026-04-14,2026-04-14 07:20:01,7,Tuesday,N,Morning,CUST004615,MFC013,RDR00151,Hyderabad,iOS,Net Banking,No Campaign,Clear,N,Delivered,5,5,0,1618.33,159.87,0.0,0.0,36.46,1494.92,0.0,1494.92,291.19,0.84,28,2026-04-14 07:22:13,2026-04-14 07:27:39,2026-04-14 07:30:41,2026-04-14 07:24:51,2026-04-14 07:32:49,2026-04-14 07:40:06,,5.44,3.03,4.84,7.28,20.09,Within SLA,,,3.8
ORD0000029,2026-05-29,2026-05-29 20:28:28,20,Friday,N,Evening,CUST002155,MFC010,RDR00112,Mumbai,iOS,UPI,No Campaign,Clear,Y,Delivered,5,5,0,422.89,16.15,0.0,25.0,10.17,441.91,0.0,441.91,130.51,1.68,28,2026-05-29 20:29:11,2026-05-29 20:38:18,2026-05-29 20:42:10,2026-05-29 20:34:25,2026-05-29 20:44:05,2026-05-29 20:52:54,,9.12,3.87,5.97,8.83,24.45,Within SLA,,,3.7
ORD0000030,2026-05-15,2026-05-15 09:44:20,9,Friday,N,Morning,CUST002244,MFC016,RDR00182,Chennai,Android,Credit/Debit Card,No Campaign,Clear,Y,Delivered,5,5,0,248.03,12.21,0.0,25.0,5.9,266.72,0.0,266.72,55.04,2.7,28,2026-05-15 09:47:17,2026-05-15 09:54:43,2026-05-15 09:58:30,2026-05-15 09:51:16,2026-05-15 09:59:59,2026-05-15 10:12:02,,7.43,3.78,6.94,12.05,27.7,Within SLA,,,4.9
ORD0000031,2026-05-06,2026-05-06 19:03:27,19,Wednesday,N,Evening,CUST001213,MFC010,RDR00115,Mumbai,Android,UPI,Weekend Saver,Clear,Y,Delivered,7,7,0,2906.52,361.61,0.0,0.0,63.62,2608.53,0.0,2608.53,494.83,1.61,28,2026-05-06 19:03:57,2026-05-06 19:13:44,2026-05-06 19:17:58,2026-05-06 19:06:42,2026-05-06 19:19:34,2026-05-06 19:27:47,,9.79,4.23,3.26,8.21,24.34,Within SLA,,,4.1
ORD0000032,2026-05-27,2026-05-27 14:36:05,14,Wednesday,N,Evening,CUST002302,MFC008,RDR00085,Delhi NCR,iOS,Net Banking,Category Deal,Heavy Rain,N,Delivered,9,9,0,2891.71,303.12,0.0,0.0,64.71,2653.3,0.0,2653.3,591.28,0.47,45,2026-05-27 14:39:47,2026-05-27 14:46:58,2026-05-27 14:51:49,2026-05-27 14:42:28,2026-05-27 14:53:29,2026-05-27 15:00:29,,7.18,4.85,6.39,7.0,24.41,Within SLA,,,4.2
ORD0000033,2026-04-09,2026-04-09 19:24:16,19,Thursday,N,Evening,CUST000810,MFC007,RDR00074,Delhi NCR,Desktop Web,UPI,No Campaign,Clear,Y,Delivered,3,3,0,301.04,26.47,0.0,15.0,6.86,296.43,0.0,296.43,93.27,2.97,28,2026-04-09 19:26:35,2026-04-09 19:31:37,2026-04-09 19:34:35,2026-04-09 19:29:39,2026-04-09 19:35:20,2026-04-09 19:52:20,,5.03,2.97,5.39,17.0,28.08,SLA Breach,,,3.4
ORD0000034,2026-04-14,2026-04-14 07:46:11,7,Tuesday,N,Morning,CUST001325,MFC009,RDR00100,Mumbai,Android,Credit/Debit Card,No Campaign,Light Rain,N,Partially Delivered,3,1,1,26.68,2.62,0.0,30.0,0.6,54.66,36.44,18.22,6.42,0.47,28,2026-04-14 07:47:04,2026-04-14 07:51:10,2026-04-14 07:54:16,2026-04-14 07:52:04,2026-04-14 07:56:21,2026-04-14 07:59:21,,4.1,3.09,5.9,3.0,13.18,Within SLA,,,3.1
ORD0000035,2026-04-12,2026-04-12 23:02:14,23,Sunday,Y,Night,CUST002507,MFC018,RDR00205,Pune,Android,UPI,No Campaign,Clear,N,Delivered,3,3,0,913.35,51.74,0.0,0.0,21.54,883.15,0.0,883.15,202.09,2.42,28,2026-04-12 23:04:40,2026-04-12 23:09:37,2026-04-12 23:13:39,2026-04-12 23:05:51,2026-04-12 23:14:29,2026-04-12 23:27:55,,4.95,4.03,3.62,13.44,25.69,Within SLA,,,4.1
ORD0000036,2026-05-08,2026-05-08 18:40:39,18,Friday,N,Evening,CUST007940,MFC010,RDR00115,Mumbai,Android,UPI,No Campaign,Clear,Y,Delivered,8,8,0,2765.22,199.24,0.0,0.0,64.15,2630.13,0.0,2630.13,572.75,0.52,28,2026-05-08 18:42:04,2026-05-08 18:53:22,2026-05-08 18:57:22,2026-05-08 18:44:01,2026-05-08 18:58:28,2026-05-08 19:06:10,,11.3,4.0,3.38,7.69,25.53,Within SLA,,,4.3
ORD0000037,2026-06-27,2026-06-27 07:26:57,7,Saturday,Y,Morning,CUST001758,MFC008,RDR00089,Delhi NCR,Mobile Web,UPI,Membership Offer,Clear,N,Delivered,7,7,0,1199.58,111.35,54.41,0.0,25.85,1059.67,0.0,1059.67,262.71,2.42,28,2026-06-27 07:29:03,2026-06-27 07:37:35,2026-06-27 07:41:26,2026-06-27 07:29:18,2026-06-27 07:43:18,2026-06-27 07:54:05,,8.53,3.86,2.36,10.78,27.15,Within SLA,,,4.1
ORD0000038,2026-04-20,2026-04-20 10:07:50,10,Monday,N,Morning,CUST007988,MFC008,RDR00096,Delhi NCR,Android,UPI,No Campaign,Clear,N,Delivered,1,1,0,62.89,2.82,0.0,20.0,1.5,81.57,0.0,81.57,18.56,4.68,38,2026-04-20 10:09:01,2026-04-20 10:12:14,2026-04-20 10:15:42,2026-04-20 10:13:27,2026-04-20 10:17:42,2026-04-20 10:34:09,,3.2,3.47,5.63,16.45,26.33,Within SLA,,,2.9
ORD0000039,2026-04-25,2026-04-25 21:40:01,21,Saturday,Y,Evening,CUST007727,MFC005,RDR00060,Bengaluru,Android,UPI,No Campaign,Cloudy,Y,Partially Delivered,6,4,1,1306.85,77.91,0.0,0.0,30.72,1259.66,419.89,839.77,233.85,2.63,28,2026-04-25 21:46:28,2026-04-25 21:55:30,2026-04-25 21:59:58,2026-04-25 21:46:52,2026-04-25 22:01:50,2026-04-25 22:16:19,,9.03,4.46,6.86,14.48,36.3,SLA Breach,,,1.8
ORD0000040,2026-06-17,2026-06-17 21:50:43,21,Wednesday,N,Evening,CUST000224,MFC004,RDR00038,Bengaluru,Android,UPI,Free Delivery,Clear,Y,Delivered,6,6,0,489.55,28.47,0.0,0.0,11.53,472.61,0.0,472.61,139.21,0.6,28,2026-06-17 21:53:48,2026-06-17 22:03:21,2026-06-17 22:06:43,2026-06-17 21:54:45,2026-06-17 22:08:52,2026-06-17 22:12:42,,9.56,3.36,4.04,3.83,21.98,Within SLA,,,4.0
ORD0000041,2026-05-28,2026-05-28 15:28:56,15,Thursday,N,Evening,CUST002351,MFC004,RDR00048,Bengaluru,Android,UPI,No Campaign,Clear,N,Delivered,6,6,0,830.03,40.64,0.0,0.0,19.73,809.12,0.0,809.12,208.78,2.29,28,2026-05-28 15:30:50,2026-05-28 15:36:55,2026-05-28 15:39:51,2026-05-28 15:32:14,2026-05-28 15:42:01,2026-05-28 15:49:15,,6.09,2.93,3.3,7.23,20.33,Within SLA,,,3.5
ORD0000042,2026-05-10,2026-05-10 17:15:59,17,Sunday,Y,Evening,CUST006534,MFC017,RDR00196,Pune,Android,Wallet,Weekend Saver,Cloudy,N,Delivered,3,3,0,789.06,59.96,0.0,0.0,18.23,747.33,0.0,747.33,244.93,2.71,28,2026-05-10 17:16:48,2026-05-10 17:20:22,2026-05-10 17:22:56,2026-05-10 17:17:10,2026-05-10 17:23:27,2026-05-10 17:34:53,,3.57,2.57,1.2,11.43,18.91,Within SLA,,,3.5
ORD0000043,2026-04-23,2026-04-23 08:05:15,8,Thursday,N,Morning,CUST000528,MFC015,,Chennai,iOS,Wallet,No Campaign,Cloudy,Y,Cancelled,11,11,0,2089.16,154.74,0.0,0.0,48.36,1982.78,1982.78,0.0,490.06,1.22,28,2026-04-23 08:08:26,,,,,,2026-04-23 08:13:30,,,,,,Not Applicable,After Packing,No Delivery Partner,
ORD0000044,2026-04-30,2026-04-30 15:16:06,15,Thursday,N,Evening,CUST006037,MFC006,RDR00071,Delhi NCR,Android,UPI,No Campaign,Cloudy,N,Delivered,3,3,0,213.27,8.22,0.0,20.0,5.13,230.18,0.0,230.18,75.48,2.05,28,2026-04-30 15:18:35,2026-04-30 15:22:21,2026-04-30 15:25:50,2026-04-30 15:18:31,2026-04-30 15:27:55,2026-04-30 15:40:21,,3.77,3.49,2.43,12.44,24.26,Within SLA,,,3.5
ORD0000045,2026-05-03,2026-05-03 21:29:12,21,Sunday,Y,Evening,CUST001165,MFC006,RDR00067,Delhi NCR,Android,UPI,No Campaign,Clear,Y,Delivered,9,9,0,934.13,50.44,0.0,0.0,22.09,905.78,0.0,905.78,181.45,2.27,28,2026-05-03 21:29:42,2026-05-03 21:43:28,2026-05-03 21:49:18,2026-05-03 21:36:03,2026-05-03 21:51:00,2026-05-03 22:03:52,,13.78,5.82,6.86,12.87,34.67,SLA Breach,,,3.1
ORD0000046,2026-05-17,2026-05-17 21:47:53,21,Sunday,Y,Evening,CUST006201,MFC015,RDR00175,Chennai,Android,Credit/Debit Card,Membership Offer,Clear,Y,Delivered,7,7,0,1290.72,105.96,59.24,0.0,28.14,1153.66,0.0,1153.66,243.47,3.26,38,2026-05-17 21:49:43,2026-05-17 22:01:37,2026-05-17 22:06:12,2026-05-17 21:54:59,2026-05-17 22:07:11,2026-05-17 22:23:57,,11.9,4.59,7.1,16.77,36.08,Within SLA,,,3.9
ORD0000047,2026-04-04,2026-04-04 09:09:52,9,Saturday,Y,Morning,CUST003890,MFC015,,Chennai,Android,UPI,Weekend Saver,Clear,Y,Cancelled,8,7,1,394.48,59.31,0.0,20.0,8.38,363.55,363.55,0.0,91.04,1.37,28,2026-04-04 09:11:03,,,,,,2026-04-04 09:14:56,,,,,,Not Applicable,During Picking,Customer Cancelled,1.8
ORD0000048,2026-04-27,2026-04-27 14:33:02,14,Monday,N,Evening,CUST000473,MFC011,RDR00127,Mumbai,Android,UPI,New User Offer,Clear,N,Partially Delivered,9,8,1,2292.05,103.46,120.0,0.0,51.71,2120.3,235.59,1884.71,421.68,2.14,28,2026-04-27 14:34:20,2026-04-27 14:41:44,2026-04-27 14:47:05,2026-04-27 14:35:55,2026-04-27 14:48:24,2026-04-27 14:56:42,,7.4,5.35,2.9,8.31,23.68,Within SLA,,,3.0
ORD0000049,2026-06-12,2026-06-12 18:45:11,18,Friday,N,Evening,CUST007330,MFC008,RDR00087,Delhi NCR,Android,Net Banking,Weekend Saver,Cloudy,Y,Delivered,12,12,0,2355.21,250.34,0.0,0.0,52.62,2157.49,0.0,2157.49,401.82,0.93,28,2026-06-12 18:47:20,2026-06-12 19:02:22,2026-06-12 19:07:19,2026-06-12 18:52:16,2026-06-12 19:09:24,2026-06-12 19:17:21,,15.02,4.96,7.1,7.94,32.17,SLA Breach,,,2.9
ORD0000050,2026-04-18,2026-04-18 13:36:45,13,Saturday,Y,Morning,CUST005706,MFC017,RDR00197,Pune,Android,Credit/Debit Card,No Campaign,Clear,Y,Delivered,2,2,0,226.54,2.02,0.0,15.0,5.61,245.13,0.0,245.13,63.38,2.47,28,2026-04-18 13:39:54,2026-04-18 13:43:54,2026-04-18 13:47:02,2026-04-18 13:38:17,2026-04-18 13:48:18,2026-04-18 14:01:58,,4.0,3.14,1.55,13.67,25.23,Within SLA,,,3.7
ORD0000051,2026-05-26,2026-05-26 18:51:42,18,Tuesday,N,Evening,CUST000996,MFC013,RDR00150,Hyderabad,Android,UPI,Free Delivery,Heavy Rain,Y,Returned,3,3,0,1363.59,90.84,0.0,0.0,31.82,1304.57,1010.96,293.61,268.43,3.19,45,2026-05-26 18:54:46,2026-05-26 18:57:37,2026-05-26 19:00:46,2026-05-26 18:59:01,2026-05-26 19:02:09,2026-05-26 19:27:39,,2.86,3.15,7.33,25.5,35.96,Within SLA,,,2.5
ORD0000052,2026-06-18,2026-06-18 10:19:00,10,Thursday,N,Morning,CUST003327,MFC010,RDR00117,Mumbai,Android,Credit/Debit Card,No Campaign,Clear,N,Delivered,5,5,0,2165.83,178.15,0.0,0.0,49.69,2037.37,0.0,2037.37,618.31,3.52,38,2026-06-18 10:20:34,2026-06-18 10:25:27,2026-06-18 10:29:08,2026-06-18 10:20:40,2026-06-18 10:30:47,2026-06-18 10:41:57,,4.89,3.69,1.68,11.17,22.97,Within SLA,,,4.1
ORD0000053,2026-04-08,2026-04-08 21:58:52,21,Wednesday,N,Evening,CUST005109,MFC015,RDR00170,Chennai,iOS,Wallet,Category Deal,Clear,Y,Delivered,3,3,0,514.27,64.9,0.0,30.0,11.23,490.6,0.0,490.6,112.73,7.1,38,2026-04-08 22:02:03,2026-04-08 22:07:59,2026-04-08 22:11:14,2026-04-08 22:02:58,2026-04-08 22:11:54,2026-04-08 22:38:37,,5.93,3.25,4.11,26.72,39.77,SLA Breach,,,3.1
