week_start_date,store_id,product_id,opening_stock_units,receipts_units,units_sold,damaged_units,wastage_units,closing_stock_units,reorder_level_units,stockout_hours,system_stock_units,physical_stock_units,cycle_count_variance_units,inventory_accuracy_pct
2026-03-30,MFC001,PRD0192,45,0,4,0,0,41,22,0.0,41,41,0,100.0
2026-03-30,MFC001,PRD0113,71,0,2,0,0,69,38,0.0,69,69,0,100.0
2026-03-30,MFC001,PRD0145,36,9,6,0,0,39,29,0.0,39,39,0,100.0
2026-03-30,MFC001,PRD0280,27,15,4,0,0,38,25,0.0,38,38,0,100.0
2026-03-30,MFC001,PRD0321,47,1,1,0,0,47,25,0.0,47,47,0,100.0
2026-03-30,MFC001,PRD0391,114,0,3,0,0,111,36,0.0,111,111,0,100.0
2026-03-30,MFC001,PRD0367,101,0,6,0,0,95,41,0.0,95,95,0,100.0
2026-03-30,MFC001,PRD0394,115,0,6,0,0,109,21,0.0,109,109,0,100.0
2026-03-30,MFC001,PRD0150,30,16,0,0,0,46,27,0.0,46,45,-1,97.83
2026-03-30,MFC001,PRD0118,92,0,2,1,0,89,34,0.0,89,89,0,100.0
2026-03-30,MFC001,PRD0033,112,0,0,0,0,112,20,0.0,112,112,0,100.0
2026-03-30,MFC001,PRD0256,108,0,1,0,0,107,17,0.0,107,107,0,100.0
2026-03-30,MFC001,PRD0095,42,25,4,0,1,62,29,0.0,62,65,3,95.38
2026-03-30,MFC001,PRD0282,52,3,1,0,0,54,39,0.0,54,54,0,100.0
2026-03-30,MFC001,PRD0011,100,0,0,2,1,97,21,0.0,97,97,0,100.0
2026-03-30,MFC001,PRD0358,89,0,1,0,0,88,26,0.0,88,88,0,100.0
2026-03-30,MFC001,PRD0003,75,0,4,0,0,71,24,0.0,71,71,0,100.0
2026-03-30,MFC001,PRD0084,59,13,1,0,1,70,39,0.0,70,70,0,100.0
2026-03-30,MFC001,PRD0204,105,0,2,0,0,103,24,0.0,103,103,0,100.0
2026-03-30,MFC001,PRD0346,48,0,1,1,0,46,15,0.0,46,46,0,100.0
2026-03-30,MFC001,PRD0300,46,28,1,0,0,73,20,0.0,73,73,0,100.0
2026-03-30,MFC001,PRD0355,101,0,1,0,0,100,32,0.0,100,98,-2,98.0
2026-03-30,MFC001,PRD0186,40,10,0,0,0,50,38,0.0,50,50,0,100.0
2026-03-30,MFC001,PRD0138,48,0,0,0,0,48,23,0.0,48,48,0,100.0
2026-03-30,MFC001,PRD0294,55,0,1,0,0,54,39,0.0,54,51,-3,94.44
2026-03-30,MFC001,PRD0127,117,0,0,0,0,117,24,0.0,117,117,0,100.0
2026-03-30,MFC001,PRD0116,76,0,2,0,0,74,43,0.0,74,74,0,100.0
2026-03-30,MFC001,PRD0074,44,14,4,0,1,53,22,0.0,53,53,0,100.0
2026-03-30,MFC001,PRD0137,83,0,1,0,0,82,30,0.0,82,81,-1,98.78
2026-03-30,MFC001,PRD0194,115,0,0,2,0,113,29,0.0,113,113,0,100.0
2026-03-30,MFC001,PRD0048,73,0,0,0,0,73,27,0.0,73,73,0,100.0
2026-03-30,MFC001,PRD0061,86,0,0,0,0,86,25,0.0,86,86,0,100.0
2026-03-30,MFC001,PRD0140,82,0,2,1,0,79,36,0.0,79,78,-1,98.73
2026-03-30,MFC001,PRD0298,102,0,1,0,1,100,30,0.0,100,100,0,100.0
2026-03-30,MFC001,PRD0126,55,0,2,0,1,52,44,0.0,52,53,1,98.11
2026-03-30,MFC001,PRD0046,58,23,3,0,0,78,36,0.0,78,78,0,100.0
2026-03-30,MFC001,PRD0159,108,0,0,1,0,107,12,0.0,107,107,0,100.0
2026-03-30,MFC001,PRD0386,38,13,0,1,0,50,41,0.0,50,50,0,100.0
2026-03-30,MFC001,PRD0339,33,0,2,0,0,31,42,2.9,31,31,0,100.0
2026-03-30,MFC001,PRD0134,93,0,1,0,0,92,44,0.0,92,92,0,100.0
2026-03-30,MFC001,PRD0066,57,6,2,1,0,60,39,0.0,60,60,0,100.0
2026-03-30,MFC001,PRD0349,107,0,0,0,0,107,18,0.0,107,107,0,100.0
2026-03-30,MFC001,PRD0132,42,20,1,0,0,61,27,0.0,61,61,0,100.0
2026-03-30,MFC001,PRD0337,51,0,3,0,1,47,19,0.0,47,47,0,100.0
2026-03-30,MFC001,PRD0164,108,0,5,0,0,103,14,0.0,103,103,0,100.0
2026-03-30,MFC001,PRD0243,74,0,0,2,0,72,35,0.0,72,72,0,100.0
2026-03-30,MFC001,PRD0278,56,0,0,0,0,56,29,0.0,56,55,-1,98.21
2026-03-30,MFC001,PRD0375,63,0,0,0,0,63,21,0.0,63,63,0,100.0
2026-03-30,MFC001,PRD0363,56,1,0,0,1,56,18,0.0,56,55,-1,98.21
2026-03-30,MFC001,PRD0027,102,0,1,0,0,101,44,0.0,101,101,0,100.0
2026-03-30,MFC001,PRD0279,84,0,0,1,1,82,15,0.0,82,79,-3,96.34
2026-03-30,MFC001,PRD0233,38,0,2,0,0,36,19,0.0,36,36,0,100.0
2026-03-30,MFC001,PRD0072,34,38,1,0,0,71,21,0.0,71,71,0,100.0
2026-03-30,MFC001,PRD0191,118,0,0,1,1,116,29,0.0,116,116,0,100.0
2026-03-30,MFC001,PRD0248,66,0,0,0,0,66,14,0.0,66,66,0,100.0
2026-03-30,MFC001,PRD0021,91,0,0,0,1,90,28,0.0,90,91,1,98.9
2026-03-30,MFC001,PRD0102,78,0,3,0,0,75,37,0.0,75,75,0,100.0
2026-03-30,MFC001,PRD0246,111,0,0,0,1,110,36,0.0,110,110,0,100.0
2026-04-06,MFC001,PRD0006,99,0,15,1,1,82,42,0.0,82,82,0,100.0
2026-04-06,MFC001,PRD0160,67,0,5,0,0,62,31,0.0,62,62,0,100.0
2026-04-06,MFC001,PRD0323,78,8,14,0,0,72,21,0.0,72,72,0,100.0
2026-04-06,MFC001,PRD0025,44,26,8,0,1,61,22,0.0,61,61,0,100.0
2026-04-06,MFC001,PRD0314,71,0,5,1,0,65,25,0.0,65,66,1,98.48
2026-04-06,MFC001,PRD0155,73,0,7,0,2,64,40,0.0,64,63,-1,98.44
2026-04-06,MFC001,PRD0303,75,0,6,0,1,68,18,0.0,68,68,0,100.0
2026-04-06,MFC001,PRD0088,97,0,7,0,0,90,27,0.0,90,90,0,100.0
2026-04-06,MFC001,PRD0295,76,0,10,1,0,65,35,0.0,65,65,0,100.0
2026-04-06,MFC001,PRD0304,59,0,8,0,0,51,38,0.0,51,51,0,100.0
2026-04-06,MFC001,PRD0281,70,0,5,0,1,64,43,0.0,64,64,0,100.0
2026-04-06,MFC001,PRD0393,43,24,4,0,0,63,14,0.0,63,63,0,100.0
2026-04-06,MFC001,PRD0345,110,0,3,2,0,105,14,0.0,105,104,-1,99.05
2026-04-06,MFC001,PRD0306,73,7,0,1,1,78,37,0.0,78,77,-1,98.72
2026-04-06,MFC001,PRD0106,108,0,4,0,0,104,15,0.0,104,105,1,99.05
2026-04-06,MFC001,PRD0388,74,8,6,0,0,76,16,0.0,76,76,0,100.0
2026-04-06,MFC001,PRD0168,107,0,5,1,1,100,23,0.0,100,100,0,100.0
2026-04-06,MFC001,PRD0359,89,0,4,0,0,85,19,0.0,85,85,0,100.0
2026-04-06,MFC001,PRD0201,72,8,5,0,0,75,26,0.0,75,75,0,100.0
2026-04-06,MFC001,PRD0397,46,0,2,1,1,42,38,0.0,42,40,-2,95.24
2026-04-06,MFC001,PRD0007,51,3,3,0,0,51,33,0.0,51,51,0,100.0
2026-04-06,MFC001,PRD0152,107,0,2,0,2,103,25,0.0,103,101,-2,98.06
2026-04-06,MFC001,PRD0192,41,40,5,1,0,75,43,0.0,75,75,0,100.0
2026-04-06,MFC001,PRD0113,69,0,2,0,0,67,14,0.0,67,66,-1,98.51
2026-04-06,MFC001,PRD0145,39,0,6,0,0,33,23,0.0,33,33,0,100.0
2026-04-06,MFC001,PRD0280,38,17,5,1,1,48,29,0.0,48,48,0,100.0
2026-04-06,MFC001,PRD0321,47,0,4,0,0,43,37,0.0,43,43,0,100.0
2026-04-06,MFC001,PRD0391,111,0,3,0,1,107,30,0.0,107,107,0,100.0
2026-04-06,MFC001,PRD0367,95,0,4,0,0,91,15,0.0,91,91,0,100.0
2026-04-06,MFC001,PRD0394,109,0,2,0,1,106,13,0.0,106,106,0,100.0
2026-04-06,MFC001,PRD0150,46,27,1,1,0,71,44,0.0,71,71,0,100.0
2026-04-06,MFC001,PRD0118,89,0,0,0,0,89,37,0.0,89,89,0,100.0
2026-04-06,MFC001,PRD0033,112,0,3,1,0,108,44,0.0,108,109,1,99.08
2026-04-06,MFC001,PRD0256,107,0,6,0,0,101,18,0.0,101,101,0,100.0
2026-04-06,MFC001,PRD0095,62,2,2,0,0,62,40,0.0,62,63,1,98.41
2026-04-06,MFC001,PRD0282,54,11,5,0,0,60,41,0.0,60,60,0,100.0
2026-04-06,MFC001,PRD0011,97,0,8,0,1,88,13,0.0,88,88,0,100.0
2026-04-06,MFC001,PRD0358,88,0,1,0,0,87,44,0.0,87,87,0,100.0
2026-04-06,MFC001,PRD0003,71,10,6,1,0,74,22,0.0,74,74,0,100.0
2026-04-06,MFC001,PRD0084,70,0,3,0,1,66,42,0.0,66,66,0,100.0
2026-04-06,MFC001,PRD0204,103,0,5,0,0,98,43,0.0,98,97,-1,98.98
2026-04-06,MFC001,PRD0346,46,37,10,0,0,73,20,0.0,73,73,0,100.0
2026-04-06,MFC001,PRD0300,73,0,1,0,0,72,30,0.0,72,72,0,100.0
2026-04-06,MFC001,PRD0355,100,0,3,0,0,97,36,0.0,97,97,0,100.0
2026-04-06,MFC001,PRD0186,50,0,3,0,0,47,15,0.0,47,47,0,100.0
2026-04-06,MFC001,PRD0138,48,0,2,0,0,46,43,0.0,46,46,0,100.0
2026-04-06,MFC001,PRD0294,54,14,1,0,0,67,17,0.0,67,67,0,100.0
2026-04-06,MFC001,PRD0127,117,0,4,0,1,112,23,0.0,112,112,0,100.0
2026-04-06,MFC001,PRD0116,74,0,7,0,1,66,44,0.0,66,66,0,100.0
2026-04-06,MFC001,PRD0074,53,0,1,0,0,52,23,0.0,52,53,1,98.11
2026-04-06,MFC001,PRD0137,82,0,1,0,0,81,28,0.0,81,82,1,98.78
2026-04-06,MFC001,PRD0194,113,0,0,1,0,112,26,0.0,112,112,0,100.0
2026-04-06,MFC001,PRD0048,73,5,0,0,0,78,32,0.0,78,76,-2,97.44
2026-04-06,MFC001,PRD0061,86,0,3,1,0,82,28,0.0,82,82,0,100.0
2026-04-06,MFC001,PRD0140,79,0,6,0,2,71,24,0.0,71,71,0,100.0
2026-04-06,MFC001,PRD0298,100,0,1,0,3,96,37,0.0,96,96,0,100.0
2026-04-06,MFC001,PRD0126,52,30,4,0,0,78,20,0.0,78,78,0,100.0
2026-04-06,MFC001,PRD0046,78,0,0,0,0,78,39,0.0,78,76,-2,97.44
2026-04-06,MFC001,PRD0159,107,0,0,0,0,107,35,0.0,107,107,0,100.0
2026-04-06,MFC001,PRD0386,50,0,2,0,0,48,37,0.0,48,47,-1,97.92
2026-04-06,MFC001,PRD0339,31,25,0,0,0,56,22,0.0,56,57,1,98.25
2026-04-06,MFC001,PRD0134,92,0,1,0,0,91,12,0.0,91,92,1,98.91
2026-04-06,MFC001,PRD0066,60,2,1,0,0,61,39,0.0,61,61,0,100.0
2026-04-06,MFC001,PRD0349,107,0,1,1,2,103,19,0.0,103,103,0,100.0
2026-04-06,MFC001,PRD0132,61,0,2,1,0,58,29,0.0,58,59,1,98.31
2026-04-06,MFC001,PRD0337,47,14,0,0,1,60,36,0.0,60,60,0,100.0
2026-04-06,MFC001,PRD0164,103,0,3,0,0,100,21,0.0,100,100,0,100.0
2026-04-06,MFC001,PRD0243,72,0,2,0,0,70,18,0.0,70,70,0,100.0
2026-04-06,MFC001,PRD0278,56,22,0,0,0,78,40,0.0,78,78,0,100.0
2026-04-06,MFC001,PRD0375,63,0,2,0,0,61,32,0.0,61,61,0,100.0
2026-04-06,MFC001,PRD0363,56,19,4,0,0,71,18,0.0,71,71,0,100.0
2026-04-06,MFC001,PRD0027,101,0,0,0,1,100,18,0.0,100,100,0,100.0
2026-04-06,MFC001,PRD0279,82,0,1,0,0,81,40,0.0,81,81,0,100.0
2026-04-06,MFC001,PRD0233,36,0,2,0,0,34,17,0.0,34,34,0,100.0
2026-04-06,MFC001,PRD0072,71,0,0,0,0,71,33,0.0,71,72,1,98.61
2026-04-06,MFC001,PRD0191,116,0,1,0,0,115,16,0.0,115,115,0,100.0
2026-04-06,MFC001,PRD0248,66,9,1,0,0,74,20,0.0,74,72,-2,97.3
2026-04-06,MFC001,PRD0021,90,0,1,0,1,88,35,0.0,88,88,0,100.0
2026-04-06,MFC001,PRD0102,75,0,0,0,0,75,28,0.0,75,75,0,100.0
2026-04-06,MFC001,PRD0246,110,0,1,1,2,106,32,0.0,106,106,0,100.0
2026-04-13,MFC001,PRD0006,82,0,12,0,2,68,30,0.0,68,68,0,100.0
2026-04-13,MFC001,PRD0160,62,22,11,0,1,72,35,0.0,72,72,0,100.0
2026-04-13,MFC001,PRD0323,72,13,17,0,0,68,30,0.0,68,68,0,100.0
2026-04-13,MFC001,PRD0025,61,1,9,1,2,50,30,0.0,50,49,-1,98.0
2026-04-13,MFC001,PRD0314,65,4,8,0,0,61,27,0.0,61,62,1,98.39
2026-04-13,MFC001,PRD0155,64,10,6,0,3,65,23,0.0,65,65,0,100.0
2026-04-13,MFC001,PRD0303,68,0,10,0,3,55,43,0.0,55,55,0,100.0
2026-04-13,MFC001,PRD0088,90,0,6,0,0,84,39,0.0,84,84,0,100.0
2026-04-13,MFC001,PRD0295,65,0,9,0,0,56,38,0.0,56,55,-1,98.21
2026-04-13,MFC001,PRD0304,51,0,7,0,1,43,13,0.0,43,43,0,100.0
2026-04-13,MFC001,PRD0281,64,2,15,0,2,49,21,0.0,49,47,-2,95.92
2026-04-13,MFC001,PRD0393,63,0,3,0,0,60,12,0.0,60,60,0,100.0
2026-04-13,MFC001,PRD0345,105,0,7,0,0,98,28,0.0,98,98,0,100.0
2026-04-13,MFC001,PRD0306,78,0,1,0,1,76,19,0.0,76,76,0,100.0
2026-04-13,MFC001,PRD0106,104,0,3,0,0,101,37,0.0,101,101,0,100.0
2026-04-13,MFC001,PRD0388,76,1,8,0,0,69,19,0.0,69,70,1,98.57
2026-04-13,MFC001,PRD0168,100,0,7,0,0,93,38,0.0,93,93,0,100.0
2026-04-13,MFC001,PRD0359,85,0,3,0,0,82,40,0.0,82,82,0,100.0
2026-04-13,MFC001,PRD0201,75,0,2,0,0,73,34,0.0,73,71,-2,97.26
2026-04-13,MFC001,PRD0397,42,42,4,0,1,79,24,0.0,79,79,0,100.0
2026-04-13,MFC001,PRD0007,51,22,0,0,0,73,43,0.0,73,73,0,100.0
2026-04-13,MFC001,PRD0152,103,0,5,0,0,98,20,0.0,98,98,0,100.0
2026-04-13,MFC001,PRD0192,75,0,3,1,0,71,34,0.0,71,71,0,100.0
2026-04-13,MFC001,PRD0113,67,0,0,1,0,66,43,0.0,66,66,0,100.0
2026-04-13,MFC001,PRD0145,33,4,9,0,0,28,44,1.32,28,27,-1,96.43
2026-04-13,MFC001,PRD0280,48,0,3,0,0,45,21,0.0,45,44,-1,97.78
2026-04-13,MFC001,PRD0321,43,0,2,0,0,41,16,0.0,41,41,0,100.0
2026-04-13,MFC001,PRD0391,107,0,0,0,3,104,25,0.0,104,104,0,100.0
2026-04-13,MFC001,PRD0367,91,0,5,1,0,85,32,0.0,85,85,0,100.0
2026-04-13,MFC001,PRD0394,106,0,6,1,0,99,43,0.0,99,99,0,100.0
2026-04-13,MFC001,PRD0150,71,0,4,0,0,67,34,0.0,67,67,0,100.0
2026-04-13,MFC001,PRD0118,89,0,1,1,1,86,24,0.0,86,86,0,100.0
2026-04-13,MFC001,PRD0033,108,0,2,0,0,106,19,0.0,106,107,1,99.07
2026-04-13,MFC001,PRD0256,101,0,4,0,1,96,34,0.0,96,98,2,97.96
2026-04-13,MFC001,PRD0095,62,0,4,0,0,58,43,0.0,58,58,0,100.0
2026-04-13,MFC001,PRD0282,60,0,4,1,0,55,27,0.0,55,55,0,100.0
2026-04-13,MFC001,PRD0011,88,0,1,0,0,87,15,0.0,87,87,0,100.0
2026-04-13,MFC001,PRD0358,87,0,4,0,0,83,30,0.0,83,83,0,100.0
2026-04-13,MFC001,PRD0003,74,0,3,0,0,71,30,0.0,71,71,0,100.0
2026-04-13,MFC001,PRD0084,66,0,3,0,1,62,39,0.0,62,62,0,100.0
2026-04-13,MFC001,PRD0204,98,0,1,1,0,96,25,0.0,96,96,0,100.0
2026-04-13,MFC001,PRD0346,73,0,4,0,1,68,37,0.0,68,68,0,100.0
2026-04-13,MFC001,PRD0300,72,0,3,0,0,69,29,0.0,69,70,1,98.57
2026-04-13,MFC001,PRD0355,97,0,6,1,0,90,25,0.0,90,90,0,100.0
2026-04-13,MFC001,PRD0186,47,0,4,0,0,43,27,0.0,43,45,2,95.56
2026-04-13,MFC001,PRD0138,46,11,0,0,0,57,24,0.0,57,57,0,100.0
2026-04-13,MFC001,PRD0294,67,0,4,0,1,62,17,0.0,62,62,0,100.0
2026-04-13,MFC001,PRD0127,112,0,2,0,2,108,41,0.0,108,108,0,100.0
2026-04-13,MFC001,PRD0116,66,20,5,3,0,78,26,0.0,78,78,0,100.0
2026-04-13,MFC001,PRD0074,52,0,0,0,1,51,24,0.0,51,52,1,98.08
2026-04-13,MFC001,PRD0137,81,0,8,1,0,72,12,0.0,72,72,0,100.0
2026-04-13,MFC001,PRD0194,112,0,3,0,0,109,22,0.0,109,109,0,100.0
2026-04-13,MFC001,PRD0048,78,0,2,0,0,76,38,0.0,76,78,2,97.44
2026-04-13,MFC001,PRD0061,82,0,3,0,0,79,17,0.0,79,79,0,100.0
2026-04-13,MFC001,PRD0140,71,0,2,0,2,67,12,0.0,67,67,0,100.0
2026-04-13,MFC001,PRD0298,96,0,1,1,0,94,44,0.0,94,94,0,100.0
2026-04-13,MFC001,PRD0126,78,0,1,1,0,76,23,0.0,76,76,0,100.0
2026-04-13,MFC001,PRD0046,78,0,0,1,1,76,36,0.0,76,76,0,100.0
2026-04-13,MFC001,PRD0159,107,0,0,0,0,107,37,0.0,107,107,0,100.0
2026-04-13,MFC001,PRD0386,48,3,4,0,0,47,23,0.0,47,47,0,100.0
2026-04-13,MFC001,PRD0339,56,0,3,1,2,50,20,0.0,50,50,0,100.0
2026-04-13,MFC001,PRD0134,91,0,2,0,0,89,19,0.0,89,88,-1,98.88
2026-04-13,MFC001,PRD0066,61,3,4,0,3,57,27,0.0,57,57,0,100.0
2026-04-13,MFC001,PRD0349,103,0,2,0,0,101,31,0.0,101,101,0,100.0
2026-04-13,MFC001,PRD0132,58,0,2,0,0,56,21,0.0,56,56,0,100.0
2026-04-13,MFC001,PRD0337,60,0,0,0,0,60,32,0.0,60,61,1,98.36
2026-04-13,MFC001,PRD0164,100,0,0,0,0,100,12,0.0,100,98,-2,98.0
2026-04-13,MFC001,PRD0243,70,0,1,0,0,69,20,0.0,69,69,0,100.0
2026-04-13,MFC001,PRD0278,78,0,0,0,0,78,15,0.0,78,78,0,100.0
2026-04-13,MFC001,PRD0375,61,2,1,0,0,62,26,0.0,62,62,0,100.0
2026-04-13,MFC001,PRD0363,71,0,3,0,2,66,41,0.0,66,66,0,100.0
2026-04-13,MFC001,PRD0027,100,0,2,0,0,98,14,0.0,98,98,0,100.0
2026-04-13,MFC001,PRD0279,81,0,0,0,0,81,30,0.0,81,81,0,100.0
2026-04-13,MFC001,PRD0233,34,37,1,0,1,69,23,0.0,69,69,0,100.0
2026-04-13,MFC001,PRD0072,71,0,5,0,0,66,13,0.0,66,66,0,100.0
2026-04-13,MFC001,PRD0191,115,0,2,0,0,113,32,0.0,113,113,0,100.0
2026-04-13,MFC001,PRD0248,74,5,0,0,0,79,24,0.0,79,77,-2,97.47
2026-04-13,MFC001,PRD0021,88,0,2,0,0,86,43,0.0,86,86,0,100.0
2026-04-13,MFC001,PRD0102,75,0,5,1,0,69,30,0.0,69,69,0,100.0
2026-04-13,MFC001,PRD0246,106,0,0,1,0,105,34,0.0,105,105,0,100.0
2026-04-20,MFC001,PRD0006,68,9,14,1,0,62,41,0.0,62,62,0,100.0
2026-04-20,MFC001,PRD0160,72,0,4,0,0,68,41,0.0,68,65,-3,95.59
2026-04-20,MFC001,PRD0323,68,0,6,0,0,62,24,0.0,62,62,0,100.0
2026-04-20,MFC001,PRD0025,50,38,15,0,0,73,31,0.0,73,74,1,98.65
2026-04-20,MFC001,PRD0314,61,0,12,0,0,49,31,0.0,49,49,0,100.0
2026-04-20,MFC001,PRD0155,65,0,10,0,1,54,39,0.0,54,54,0,100.0
2026-04-20,MFC001,PRD0303,55,5,3,0,1,56,22,0.0,56,56,0,100.0
2026-04-20,MFC001,PRD0088,84,0,5,0,1,78,43,0.0,78,78,0,100.0
2026-04-20,MFC001,PRD0295,56,15,3,2,0,66,40,0.0,66,67,1,98.51
2026-04-20,MFC001,PRD0304,43,0,4,1,1,37,37,0.0,37,37,0,100.0
2026-04-20,MFC001,PRD0281,49,5,7,0,1,46,29,0.0,46,46,0,100.0
2026-04-20,MFC001,PRD0393,60,16,0,0,1,75,37,0.0,75,75,0,100.0
2026-04-20,MFC001,PRD0345,98,0,7,0,1,90,43,0.0,90,90,0,100.0
2026-04-20,MFC001,PRD0306,76,0,1,0,1,74,16,0.0,74,74,0,100.0
2026-04-20,MFC001,PRD0106,101,0,6,0,0,95,14,0.0,95,96,1,98.96
2026-04-20,MFC001,PRD0388,69,12,3,0,0,78,24,0.0,78,78,0,100.0
2026-04-20,MFC001,PRD0168,93,0,4,0,0,89,33,0.0,89,89,0,100.0
2026-04-20,MFC001,PRD0359,82,0,4,0,0,78,23,0.0,78,78,0,100.0
2026-04-20,MFC001,PRD0201,73,9,9,1,0,72,22,0.0,72,72,0,100.0
2026-04-20,MFC001,PRD0397,79,0,2,0,0,77,21,0.0,77,77,0,100.0
2026-04-20,MFC001,PRD0007,73,0,6,0,0,67,27,0.0,67,67,0,100.0
2026-04-20,MFC001,PRD0152,98,0,2,1,1,94,28,0.0,94,92,-2,97.87
2026-04-20,MFC001,PRD0192,71,0,2,0,0,69,13,0.0,69,69,0,100.0
2026-04-20,MFC001,PRD0113,66,0,3,0,0,63,36,0.0,63,63,0,100.0
2026-04-20,MFC001,PRD0145,28,0,2,0,0,26,12,0.0,26,25,-1,96.15
2026-04-20,MFC001,PRD0280,45,0,6,0,0,39,44,3.09,39,39,0,100.0
2026-04-20,MFC001,PRD0321,41,26,4,0,2,61,27,0.0,61,61,0,100.0
2026-04-20,MFC001,PRD0391,104,0,1,1,3,99,33,0.0,99,99,0,100.0
2026-04-20,MFC001,PRD0367,85,0,4,1,0,80,29,0.0,80,80,0,100.0
2026-04-20,MFC001,PRD0394,99,0,6,0,0,93,18,0.0,93,93,0,100.0
2026-04-20,MFC001,PRD0150,67,0,7,0,0,60,30,0.0,60,61,1,98.36
2026-04-20,MFC001,PRD0118,86,0,3,0,0,83,19,0.0,83,83,0,100.0
2026-04-20,MFC001,PRD0033,106,0,0,1,0,105,41,0.0,105,105,0,100.0
2026-04-20,MFC001,PRD0256,96,0,5,0,0,91,31,0.0,91,92,1,98.91
2026-04-20,MFC001,PRD0095,58,18,5,1,0,70,27,0.0,70,70,0,100.0
2026-04-20,MFC001,PRD0282,55,4,0,0,0,59,38,0.0,59,59,0,100.0
2026-04-20,MFC001,PRD0011,87,0,4,0,0,83,28,0.0,83,83,0,100.0
2026-04-20,MFC001,PRD0358,83,0,0,0,0,83,14,0.0,83,83,0,100.0
2026-04-20,MFC001,PRD0003,71,0,9,0,1,61,37,0.0,61,61,0,100.0
2026-04-20,MFC001,PRD0084,62,0,0,0,0,62,20,0.0,62,62,0,100.0
2026-04-20,MFC001,PRD0204,96,0,1,1,0,94,43,0.0,94,95,1,98.95
2026-04-20,MFC001,PRD0346,68,0,1,0,3,64,21,0.0,64,64,0,100.0
2026-04-20,MFC001,PRD0300,69,2,3,0,0,68,37,0.0,68,68,0,100.0
2026-04-20,MFC001,PRD0355,90,0,4,0,0,86,29,0.0,86,86,0,100.0
2026-04-20,MFC001,PRD0186,43,15,6,1,0,51,26,0.0,51,51,0,100.0
2026-04-20,MFC001,PRD0138,57,0,2,0,0,55,33,0.0,55,55,0,100.0
2026-04-20,MFC001,PRD0294,62,15,2,0,0,75,20,0.0,75,78,3,96.15
2026-04-20,MFC001,PRD0127,108,0,3,0,3,102,25,0.0,102,102,0,100.0
2026-04-20,MFC001,PRD0116,78,0,3,0,0,75,41,0.0,75,77,2,97.4
2026-04-20,MFC001,PRD0074,51,15,2,0,2,62,19,0.0,62,63,1,98.41
2026-04-20,MFC001,PRD0137,72,0,3,0,0,69,13,0.0,69,70,1,98.57
2026-04-20,MFC001,PRD0194,109,0,3,0,0,106,26,0.0,106,106,0,100.0
2026-04-20,MFC001,PRD0048,76,0,0,0,0,76,43,0.0,76,76,0,100.0
2026-04-20,MFC001,PRD0061,79,0,2,1,0,76,30,0.0,76,76,0,100.0
2026-04-20,MFC001,PRD0140,67,0,0,1,1,65,44,0.0,65,65,0,100.0
2026-04-20,MFC001,PRD0298,94,0,0,0,1,93,36,0.0,93,93,0,100.0
2026-04-20,MFC001,PRD0126,76,0,6,1,0,69,15,0.0,69,69,0,100.0
2026-04-20,MFC001,PRD0046,76,0,2,0,0,74,18,0.0,74,74,0,100.0
2026-04-20,MFC001,PRD0159,107,0,0,0,0,107,32,0.0,107,107,0,100.0
