order_item_id,order_id,product_id,quantity_ordered,quantity_fulfilled,unit_mrp,unit_selling_price,line_discount_amount,item_revenue,item_cost,gross_margin,stock_available_at_order,substitution_flag
ORD0000008-02,ORD0000008,PRD0330,1,1,133.2,120.95,12.25,120.95,99.34,21.61,9,N
ORD0000008-03,ORD0000008,PRD0145,1,1,230.77,229.68,1.09,229.68,179.98,49.7,2,N
ORD0000008-04,ORD0000008,PRD0113,1,1,123.69,115.07,8.62,115.07,91.34,23.73,12,N
ORD0000009-01,ORD0000009,PRD0353,1,1,327.21,270.26,56.95,270.26,206.6,63.66,3,N
ORD0000010-01,ORD0000010,PRD0348,1,1,266.16,236.73,29.43,236.73,218.0,18.73,3,N
ORD0000010-02,ORD0000010,PRD0314,1,1,106.23,99.41,6.82,99.41,79.4,20.01,3,N
ORD0000011-01,ORD0000011,PRD0028,1,1,61.54,59.18,2.36,59.18,37.58,21.6,8,N
ORD0000012-01,ORD0000012,PRD0357,1,1,452.35,450.84,1.51,450.84,290.95,159.89,6,N
ORD0000012-02,ORD0000012,PRD0337,1,1,138.32,136.69,1.63,136.69,96.99,39.7,8,N
ORD0000012-03,ORD0000012,PRD0113,1,1,123.69,113.26,10.43,113.26,91.34,21.92,3,N
ORD0000012-04,ORD0000012,PRD0034,1,1,28.45,26.87,1.58,26.87,23.23,3.64,2,N
ORD0000012-05,ORD0000012,PRD0098,1,1,605.32,581.47,23.85,581.47,422.45,159.02,9,N
ORD0000013-01,ORD0000013,PRD0049,1,1,94.95,85.6,9.35,85.6,63.3,22.3,4,N
ORD0000013-02,ORD0000013,PRD0011,2,2,145.09,140.72,8.74,281.44,221.66,59.78,7,N
ORD0000013-03,ORD0000013,PRD0375,1,0,232.61,215.07,0.0,0.0,0.0,0.0,0,N
ORD0000013-04,ORD0000013,PRD0142,2,2,150.46,134.39,32.14,268.78,203.16,65.62,5,N
ORD0000013-05,ORD0000013,PRD0303,2,2,50.63,48.68,3.9,97.36,78.04,19.32,3,N
ORD0000013-06,ORD0000013,PRD0311,1,1,517.76,512.83,4.93,512.83,348.16,164.67,10,N
ORD0000013-07,ORD0000013,PRD0281,1,1,512.81,455.18,57.63,455.18,378.76,76.42,6,N
ORD0000014-01,ORD0000014,PRD0226,1,1,648.69,625.63,23.06,625.63,379.64,245.99,9,N
ORD0000014-02,ORD0000014,PRD0100,1,1,675.05,663.45,11.6,663.45,530.72,132.73,9,N
ORD0000014-03,ORD0000014,PRD0025,1,1,51.51,51.28,0.23,51.28,36.03,15.25,6,N
ORD0000015-01,ORD0000015,PRD0033,1,1,231.15,206.76,24.39,206.76,176.33,30.43,10,N
ORD0000015-02,ORD0000015,PRD0164,4,4,37.61,34.49,12.48,137.96,114.64,23.32,6,N
ORD0000015-03,ORD0000015,PRD0237,2,2,280.88,258.73,44.3,517.46,379.44,138.02,12,N
ORD0000015-04,ORD0000015,PRD0300,2,2,17.73,16.48,2.5,32.96,22.1,10.86,12,N
ORD0000015-05,ORD0000015,PRD0280,1,1,440.29,436.22,4.07,436.22,301.41,134.81,9,N
ORD0000016-01,ORD0000016,PRD0295,1,1,59.98,56.39,3.59,56.39,39.54,16.85,9,N
ORD0000016-02,ORD0000016,PRD0355,3,3,116.18,98.7,52.44,296.1,219.63,76.47,3,N
ORD0000017-01,ORD0000017,PRD0279,1,1,91.39,89.13,2.26,89.13,71.33,17.8,8,N
ORD0000017-02,ORD0000017,PRD0256,1,1,413.52,397.73,15.79,397.73,277.44,120.29,4,N
ORD0000017-03,ORD0000017,PRD0397,1,1,53.6,52.29,1.31,52.29,30.92,21.37,3,N
ORD0000018-01,ORD0000018,PRD0279,1,1,91.39,88.36,3.03,88.36,71.33,17.03,1,N
ORD0000018-02,ORD0000018,PRD0248,2,2,149.31,133.07,32.48,266.14,227.14,39.0,3,N
ORD0000018-03,ORD0000018,PRD0345,1,1,26.41,26.19,0.22,26.19,19.92,6.27,2,N
ORD0000018-04,ORD0000018,PRD0138,1,1,212.19,195.58,16.61,195.58,143.21,52.37,1,N
ORD0000018-05,ORD0000018,PRD0145,1,1,230.77,211.86,18.91,211.86,179.98,31.88,11,N
ORD0000019-01,ORD0000019,PRD0161,1,1,256.68,233.31,23.37,233.31,178.72,54.59,9,N
ORD0000019-02,ORD0000019,PRD0298,1,1,74.94,66.23,8.71,66.23,44.75,21.48,12,N
ORD0000019-03,ORD0000019,PRD0155,1,1,25.21,23.47,1.74,23.47,19.25,4.22,6,N
ORD0000019-04,ORD0000019,PRD0074,1,1,346.34,303.32,43.02,303.32,196.66,106.66,9,N
ORD0000019-05,ORD0000019,PRD0065,3,3,754.45,686.53,203.76,2059.59,1258.71,800.88,12,N
ORD0000019-06,ORD0000019,PRD0057,1,1,711.4,627.73,83.67,627.73,544.53,83.2,4,N
ORD0000020-01,ORD0000020,PRD0159,1,1,269.47,251.04,18.43,251.04,159.58,91.46,5,N
ORD0000020-02,ORD0000020,PRD0078,1,1,268.4,237.59,30.81,237.59,217.36,20.23,4,N
ORD0000020-03,ORD0000020,PRD0125,1,1,50.03,48.06,1.97,48.06,37.33,10.73,9,N
ORD0000021-01,ORD0000021,PRD0355,1,1,116.18,107.07,9.11,107.07,73.21,33.86,9,N
ORD0000021-02,ORD0000021,PRD0074,1,1,346.34,342.73,3.61,342.73,196.66,146.07,6,N
ORD0000022-01,ORD0000022,PRD0159,1,1,269.47,247.96,21.51,247.96,159.58,88.38,9,N
ORD0000022-02,ORD0000022,PRD0303,2,2,50.63,49.59,2.08,99.18,78.04,21.14,2,N
ORD0000022-03,ORD0000022,PRD0315,1,1,218.1,199.44,18.66,199.44,155.55,43.89,11,N
ORD0000023-01,ORD0000023,PRD0394,1,1,978.49,907.8,70.69,907.8,648.86,258.94,12,N
ORD0000023-02,ORD0000023,PRD0021,1,1,21.28,17.46,3.82,17.46,15.34,2.12,7,N
ORD0000023-03,ORD0000023,PRD0063,1,1,109.0,95.48,13.52,95.48,66.36,29.12,11,N
ORD0000024-01,ORD0000024,PRD0150,1,1,490.74,467.89,22.85,467.89,382.71,85.18,0,Y
ORD0000025-01,ORD0000025,PRD0152,1,1,142.62,139.55,3.07,139.55,81.15,58.4,5,N
ORD0000025-02,ORD0000025,PRD0388,1,1,594.5,564.79,29.71,564.79,470.21,94.58,11,N
ORD0000025-03,ORD0000025,PRD0367,1,1,91.24,83.88,7.36,83.88,71.0,12.88,3,N
ORD0000025-04,ORD0000025,PRD0025,1,1,51.51,46.5,5.01,46.5,36.03,10.47,1,N
ORD0000025-05,ORD0000025,PRD0332,1,1,361.29,356.06,5.23,356.06,212.21,143.85,10,N
ORD0000025-06,ORD0000025,PRD0194,3,3,76.35,75.11,3.72,225.33,159.63,65.7,6,N
ORD0000025-07,ORD0000025,PRD0043,2,2,16.99,15.1,3.78,30.2,23.24,6.96,12,N
ORD0000025-08,ORD0000025,PRD0257,1,1,318.66,290.11,28.55,290.11,236.45,53.66,1,N
ORD0000025-09,ORD0000025,PRD0323,1,1,73.72,71.96,1.76,71.96,45.92,26.04,1,N
ORD0000026-01,ORD0000026,PRD0130,2,2,228.61,213.63,29.96,427.26,370.46,56.8,5,N
ORD0000026-02,ORD0000026,PRD0278,1,1,555.06,518.33,36.73,518.33,307.23,211.1,7,N
ORD0000026-03,ORD0000026,PRD0391,1,1,380.24,374.72,5.52,374.72,307.45,67.27,9,N
ORD0000027-01,ORD0000027,PRD0269,1,1,210.59,200.18,10.41,200.18,171.55,28.63,12,N
ORD0000027-02,ORD0000027,PRD0159,1,1,269.47,260.09,9.38,260.09,159.58,100.51,5,N
ORD0000027-03,ORD0000027,PRD0120,2,2,90.19,81.23,17.92,162.46,127.9,34.56,10,N
ORD0000027-04,ORD0000027,PRD0321,1,1,242.41,233.19,9.22,233.19,156.72,76.47,2,N
ORD0000027-05,ORD0000027,PRD0168,1,1,155.92,142.09,13.83,142.09,100.9,41.19,0,Y
ORD0000028-01,ORD0000028,PRD0248,1,1,149.31,139.36,9.95,139.36,113.57,25.79,12,N
ORD0000028-02,ORD0000028,PRD0339,1,1,1261.33,1132.36,128.97,1132.36,892.45,239.91,10,N
ORD0000028-03,ORD0000028,PRD0155,1,1,25.21,24.28,0.93,24.28,19.25,5.03,6,N
ORD0000028-04,ORD0000028,PRD0367,2,2,91.24,81.23,20.02,162.46,142.0,20.46,11,N
ORD0000029-01,ORD0000029,PRD0386,3,3,74.89,71.92,8.91,215.76,126.0,89.76,9,N
ORD0000029-02,ORD0000029,PRD0382,1,1,139.78,135.71,4.07,135.71,104.79,30.92,9,N
ORD0000029-03,ORD0000029,PRD0201,1,1,58.44,55.27,3.17,55.27,45.44,9.83,9,N
ORD0000030-01,ORD0000030,PRD0155,1,1,25.21,22.5,2.71,22.5,19.25,3.25,7,N
ORD0000030-02,ORD0000030,PRD0066,1,1,68.31,62.65,5.66,62.65,50.66,11.99,6,N
ORD0000030-03,ORD0000030,PRD0194,1,1,76.35,75.53,0.82,75.53,53.21,22.32,2,N
ORD0000030-04,ORD0000030,PRD0061,2,2,39.08,37.57,3.02,75.14,57.66,17.48,6,N
ORD0000031-01,ORD0000031,PRD0060,1,1,10.21,8.27,1.94,8.27,6.37,1.9,2,N
ORD0000031-02,ORD0000031,PRD0152,1,1,142.62,115.53,27.09,115.53,81.15,34.38,9,N
ORD0000031-03,ORD0000031,PRD0344,1,1,411.06,369.65,41.41,369.65,247.71,121.94,3,N
ORD0000031-04,ORD0000031,PRD0388,2,2,594.5,538.81,111.38,1077.62,940.42,137.2,10,N
ORD0000031-05,ORD0000031,PRD0394,1,1,978.49,815.8,162.69,815.8,648.86,166.94,2,N
ORD0000031-06,ORD0000031,PRD0027,1,1,175.14,158.04,17.1,158.04,125.57,32.47,3,N
ORD0000032-01,ORD0000032,PRD0088,2,2,113.27,103.21,20.12,206.42,161.14,45.28,12,N
ORD0000032-02,ORD0000032,PRD0074,1,1,346.34,318.24,28.1,318.24,196.66,121.58,2,N
ORD0000032-03,ORD0000032,PRD0358,1,1,602.35,514.05,88.3,514.05,397.5,116.55,1,N
ORD0000032-04,ORD0000032,PRD0391,3,3,380.24,334.62,136.86,1003.86,922.35,81.51,7,N
ORD0000032-05,ORD0000032,PRD0106,2,2,287.88,273.01,29.74,546.02,319.66,226.36,13,N
ORD0000033-01,ORD0000033,PRD0285,1,1,104.93,93.09,11.84,93.09,62.17,30.92,10,N
ORD0000033-02,ORD0000033,PRD0170,1,1,158.5,144.4,14.1,144.4,90.47,53.93,2,N
ORD0000033-03,ORD0000033,PRD0164,1,1,37.61,37.08,0.53,37.08,28.66,8.42,10,N
ORD0000034-01,ORD0000034,PRD0160,2,0,221.65,216.67,0.0,0.0,0.0,0.0,0,N
ORD0000034-02,ORD0000034,PRD0308,1,1,26.68,24.06,2.62,24.06,17.64,6.42,6,N
ORD0000035-01,ORD0000035,PRD0359,1,1,346.27,331.67,14.6,331.67,246.52,85.15,4,N
ORD0000035-02,ORD0000035,PRD0281,1,1,512.81,479.43,33.38,479.43,378.76,100.67,2,N
ORD0000035-03,ORD0000035,PRD0042,1,1,54.27,50.51,3.76,50.51,34.24,16.27,0,Y
ORD0000036-01,ORD0000036,PRD0113,3,3,123.69,114.95,26.22,344.85,274.02,70.83,6,N
ORD0000036-02,ORD0000036,PRD0150,1,1,490.74,442.64,48.1,442.64,382.71,59.93,6,N
ORD0000036-03,ORD0000036,PRD0046,2,2,472.65,435.35,74.6,870.7,731.04,139.66,13,N
ORD0000036-04,ORD0000036,PRD0032,1,1,597.79,549.45,48.34,549.45,378.07,171.38,1,N
ORD0000036-05,ORD0000036,PRD0156,1,1,360.32,358.34,1.98,358.34,227.39,130.95,8,N
ORD0000037-01,ORD0000037,PRD0188,3,3,43.77,39.28,13.47,117.84,85.71,32.13,9,N
ORD0000037-02,ORD0000037,PRD0354,1,1,180.6,170.64,9.96,170.64,110.25,60.39,3,N
ORD0000037-03,ORD0000037,PRD0064,2,2,353.52,319.72,67.6,639.44,444.68,194.76,6,N
ORD0000037-04,ORD0000037,PRD0224,1,1,180.63,160.31,20.32,160.31,130.47,29.84,10,N
ORD0000038-01,ORD0000038,PRD0017,1,1,62.89,60.07,2.82,60.07,41.51,18.56,3,N
ORD0000039-01,ORD0000039,PRD0234,1,1,632.93,609.08,23.85,609.08,472.13,136.95,4,N
ORD0000039-02,ORD0000039,PRD0367,1,1,91.24,83.17,8.07,83.17,71.0,12.17,5,N
ORD0000039-03,ORD0000039,PRD0323,2,0,73.72,65.63,0.0,0.0,0.0,0.0,0,N
ORD0000039-04,ORD0000039,PRD0036,1,1,91.94,86.01,5.93,86.01,69.25,16.76,12,N
ORD0000039-05,ORD0000039,PRD0150,1,1,490.74,450.68,40.06,450.68,382.71,67.97,2,N
ORD0000040-01,ORD0000040,PRD0375,1,1,232.61,212.55,20.06,212.55,163.62,48.93,7,N
ORD0000040-02,ORD0000040,PRD0295,2,2,59.98,59.87,0.22,119.74,79.08,40.66,5,N
ORD0000040-03,ORD0000040,PRD0127,3,3,45.66,42.93,8.19,128.79,79.17,49.62,5,N
ORD0000041-01,ORD0000041,PRD0352,2,2,31.05,28.29,5.52,56.58,40.1,16.48,8,N
ORD0000041-02,ORD0000041,PRD0369,1,1,40.88,38.98,1.9,38.98,27.38,11.6,6,N
ORD0000041-03,ORD0000041,PRD0280,1,1,440.29,409.65,30.64,409.65,301.41,108.24,11,N
ORD0000041-04,ORD0000041,PRD0031,2,2,143.38,142.09,2.58,284.18,211.72,72.46,8,N
ORD0000042-01,ORD0000042,PRD0191,1,1,143.7,126.25,17.45,126.25,107.36,18.89,6,N
ORD0000042-02,ORD0000042,PRD0355,1,1,116.18,107.83,8.35,107.83,73.21,34.62,11,N
ORD0000042-03,ORD0000042,PRD0182,1,1,529.18,495.02,34.16,495.02,303.6,191.42,9,N
ORD0000043-01,ORD0000043,PRD0115,1,1,47.92,46.93,0.99,46.93,31.15,15.78,3,N
ORD0000043-02,ORD0000043,PRD0099,1,1,130.91,124.47,6.44,124.47,83.38,41.09,6,N
ORD0000043-03,ORD0000043,PRD0088,2,2,113.27,102.63,21.28,205.26,161.14,44.12,5,N
ORD0000043-04,ORD0000043,PRD0339,1,1,1261.33,1177.7,83.63,1177.7,892.45,285.25,5,N
ORD0000043-05,ORD0000043,PRD0363,4,4,68.17,61.91,25.04,247.64,192.24,55.4,12,N
ORD0000043-06,ORD0000043,PRD0386,2,2,74.89,66.21,17.36,132.42,84.0,48.42,6,N
ORD0000044-01,ORD0000044,PRD0327,3,3,71.09,68.35,8.22,205.05,129.57,75.48,3,N
ORD0000045-01,ORD0000045,PRD0345,2,2,26.41,25.09,2.64,50.18,39.84,10.34,6,N
ORD0000045-02,ORD0000045,PRD0306,1,1,195.29,186.98,8.31,186.98,143.25,43.73,1,N
ORD0000045-03,ORD0000045,PRD0231,1,1,264.87,246.23,18.64,246.23,212.68,33.55,10,N
ORD0000045-04,ORD0000045,PRD0134,1,1,279.03,269.7,9.33,269.7,211.63,58.07,7,N
ORD0000045-05,ORD0000045,PRD0251,2,2,19.55,18.57,1.96,37.14,22.78,14.36,13,N
ORD0000045-06,ORD0000045,PRD0025,2,2,51.51,46.73,9.56,93.46,72.06,21.4,8,N
ORD0000046-01,ORD0000046,PRD0006,1,1,98.39,93.06,5.33,93.06,56.07,36.99,4,N
ORD0000046-02,ORD0000046,PRD0281,1,1,512.81,451.84,60.97,451.84,378.76,73.08,1,N
ORD0000046-03,ORD0000046,PRD0160,1,1,221.65,215.72,5.93,215.72,129.39,86.33,4,N
ORD0000046-04,ORD0000046,PRD0362,2,2,71.17,65.03,12.28,130.06,114.92,15.14,12,N
ORD0000046-05,ORD0000046,PRD0323,1,1,73.72,64.96,8.76,64.96,45.92,19.04,12,N
ORD0000046-06,ORD0000046,PRD0045,1,1,241.81,229.12,12.69,229.12,156.99,72.13,6,N
ORD0000047-01,ORD0000047,PRD0394,1,0,978.49,811.71,0.0,0.0,0.0,0.0,0,N
ORD0000047-02,ORD0000047,PRD0042,3,3,54.27,45.18,27.27,135.54,102.72,32.82,10,N
ORD0000047-03,ORD0000047,PRD0149,1,1,82.42,70.72,11.7,70.72,58.43,12.29,6,N
ORD0000047-04,ORD0000047,PRD0299,3,3,49.75,42.97,20.34,128.91,82.98,45.93,10,N
ORD0000048-01,ORD0000048,PRD0188,1,0,43.77,43.4,0.0,0.0,0.0,0.0,0,N
ORD0000048-02,ORD0000048,PRD0264,1,1,27.07,26.03,1.04,26.03,22.19,3.84,10,N
ORD0000048-03,ORD0000048,PRD0367,2,2,91.24,89.42,3.64,178.84,142.0,36.84,13,N
ORD0000048-04,ORD0000048,PRD0393,2,2,908.06,864.87,86.38,1729.74,1323.16,406.58,7,N
ORD0000048-05,ORD0000048,PRD0052,1,1,18.32,17.71,0.61,17.71,10.25,7.46,5,N
ORD0000048-06,ORD0000048,PRD0345,1,1,26.41,26.39,0.02,26.39,19.92,6.47,11,N
ORD0000048-07,ORD0000048,PRD0160,1,1,221.65,209.88,11.77,209.88,129.39,80.49,3,N
ORD0000049-01,ORD0000049,PRD0205,4,4,76.91,66.58,41.32,266.32,242.2,24.12,8,N
ORD0000049-02,ORD0000049,PRD0006,1,1,98.39,92.13,6.26,92.13,56.07,36.06,7,N
ORD0000049-03,ORD0000049,PRD0113,1,1,123.69,114.61,9.08,114.61,91.34,23.27,12,N
ORD0000049-04,ORD0000049,PRD0321,1,1,242.41,217.43,24.98,217.43,156.72,60.71,4,N
ORD0000049-05,ORD0000049,PRD0281,2,2,512.81,452.54,120.54,905.08,757.52,147.56,13,N
ORD0000049-06,ORD0000049,PRD0147,1,1,192.88,167.32,25.56,167.32,145.0,22.32,11,N
ORD0000049-07,ORD0000049,PRD0189,2,2,182.29,170.99,22.6,341.98,254.2,87.78,4,N
ORD0000050-01,ORD0000050,PRD0088,2,2,113.27,112.26,2.02,224.52,161.14,63.38,10,N
ORD0000051-01,ORD0000051,PRD0192,1,1,1165.23,1082.01,83.22,1082.01,862.8,219.21,0,Y
ORD0000051-02,ORD0000051,PRD0224,1,1,180.63,173.45,7.18,173.45,130.47,42.98,1,N
ORD0000051-03,ORD0000051,PRD0300,1,1,17.73,17.29,0.44,17.29,11.05,6.24,2,N
ORD0000052-01,ORD0000052,PRD0323,2,2,73.72,73.08,1.28,146.16,91.84,54.32,3,N
ORD0000052-02,ORD0000052,PRD0276,1,1,1255.19,1148.25,106.94,1148.25,824.03,324.22,9,N
ORD0000052-03,ORD0000052,PRD0314,1,1,106.23,94.64,11.59,94.64,79.4,15.24,3,N
ORD0000052-04,ORD0000052,PRD0331,1,1,656.97,598.63,58.34,598.63,374.1,224.53,3,N
ORD0000053-01,ORD0000053,PRD0302,1,1,136.7,126.19,10.51,126.19,106.35,19.84,4,N
ORD0000053-02,ORD0000053,PRD0168,1,1,155.92,139.19,16.73,139.19,100.9,38.29,7,N
ORD0000053-03,ORD0000053,PRD0160,1,1,221.65,183.99,37.66,183.99,129.39,54.6,2,N
ORD0000054-01,ORD0000054,PRD0346,1,1,69.95,68.11,1.84,68.11,38.93,29.18,12,N
ORD0000054-02,ORD0000054,PRD0088,2,2,113.27,110.69,5.16,221.38,161.14,60.24,5,N
ORD0000054-03,ORD0000054,PRD0298,1,0,74.94,67.85,0.0,0.0,0.0,0.0,0,N
ORD0000054-04,ORD0000054,PRD0378,1,1,31.64,31.57,0.07,31.57,24.34,7.23,2,N
ORD0000055-01,ORD0000055,PRD0183,2,2,107.09,102.66,8.86,205.32,127.16,78.16,8,N
ORD0000056-01,ORD0000056,PRD0263,1,0,266.37,254.44,0.0,0.0,0.0,0.0,0,N
ORD0000056-02,ORD0000056,PRD0359,2,2,346.27,342.35,7.84,684.7,493.04,191.66,8,N
ORD0000056-03,ORD0000056,PRD0181,1,1,517.08,499.78,17.3,499.78,408.75,91.03,5,N
ORD0000056-04,ORD0000056,PRD0128,1,1,43.34,40.03,3.31,40.03,31.62,8.41,1,N
ORD0000056-05,ORD0000056,PRD0032,1,1,597.79,591.57,6.22,591.57,378.07,213.5,9,N
ORD0000057-01,ORD0000057,PRD0157,1,1,792.72,663.52,129.2,663.52,623.19,40.33,4,N
ORD0000057-02,ORD0000057,PRD0155,1,1,25.21,23.23,1.98,23.23,19.25,3.98,6,N
ORD0000057-03,ORD0000057,PRD0111,1,1,81.38,75.44,5.94,75.44,58.77,16.67,9,N
ORD0000057-04,ORD0000057,PRD0029,1,1,119.19,108.48,10.71,108.48,91.63,16.85,3,N
ORD0000057-05,ORD0000057,PRD0168,1,1,155.92,149.76,6.16,149.76,100.9,48.86,6,N
ORD0000057-06,ORD0000057,PRD0257,1,1,318.66,288.67,29.99,288.67,236.45,52.22,10,N
ORD0000057-07,ORD0000057,PRD0345,1,1,26.41,25.22,1.19,25.22,19.92,5.3,11,N
ORD0000057-08,ORD0000057,PRD0304,1,1,58.71,55.5,3.21,55.5,37.43,18.07,10,N
ORD0000057-09,ORD0000057,PRD0123,4,4,1740.45,1507.62,931.32,6030.48,4433.96,1596.52,14,N
ORD0000058-01,ORD0000058,PRD0320,1,1,114.95,107.93,7.02,107.93,81.09,26.84,5,N
ORD0000058-02,ORD0000058,PRD0097,1,1,119.03,104.85,14.18,104.85,74.95,29.9,12,N
ORD0000058-03,ORD0000058,PRD0254,1,1,69.14,62.42,6.72,62.42,39.43,22.99,9,N
ORD0000058-04,ORD0000058,PRD0126,1,1,130.77,126.51,4.26,126.51,99.76,26.75,8,N
ORD0000059-01,ORD0000059,PRD0265,1,1,45.86,45.34,0.52,45.34,36.13,9.21,6,N
ORD0000059-02,ORD0000059,PRD0006,1,1,98.39,88.22,10.17,88.22,56.07,32.15,4,N
ORD0000059-03,ORD0000059,PRD0025,1,1,51.51,48.46,3.05,48.46,36.03,12.43,2,N
ORD0000059-04,ORD0000059,PRD0150,1,1,490.74,475.88,14.86,475.88,382.71,93.17,11,N
ORD0000059-05,ORD0000059,PRD0330,3,3,133.2,127.4,17.4,382.2,298.02,84.18,12,N
ORD0000060-01,ORD0000060,PRD0103,1,1,105.06,87.89,17.17,87.89,60.52,27.37,12,N
ORD0000060-02,ORD0000060,PRD0109,1,1,103.44,91.97,11.47,91.97,63.04,28.93,3,N
ORD0000060-03,ORD0000060,PRD0156,1,1,360.32,314.48,45.84,314.48,227.39,87.09,2,N
ORD0000060-04,ORD0000060,PRD0088,1,1,113.27,104.19,9.08,104.19,80.57,23.62,11,N
ORD0000060-05,ORD0000060,PRD0364,1,1,64.93,60.05,4.88,60.05,43.4,16.65,3,N
ORD0000061-01,ORD0000061,PRD0155,1,1,25.21,23.69,1.52,23.69,19.25,4.44,5,N
ORD0000061-02,ORD0000061,PRD0323,3,3,73.72,70.48,9.72,211.44,137.76,73.68,9,N
ORD0000061-03,ORD0000061,PRD0322,1,1,56.15,52.45,3.7,52.45,42.64,9.81,5,N
ORD0000061-04,ORD0000061,PRD0186,1,1,93.14,91.54,1.6,91.54,62.56,28.98,4,N
ORD0000061-05,ORD0000061,PRD0389,1,1,221.85,210.78,11.07,210.78,137.58,73.2,8,N
ORD0000062-01,ORD0000062,PRD0204,2,2,217.26,196.69,41.14,393.38,325.02,68.36,3,N
ORD0000062-02,ORD0000062,PRD0030,1,1,75.49,73.93,1.56,73.93,55.32,18.61,11,N
ORD0000062-03,ORD0000062,PRD0021,1,1,21.28,20.6,0.68,20.6,15.34,5.26,10,N
ORD0000063-01,ORD0000063,PRD0294,1,1,326.18,289.27,36.91,289.27,201.82,87.45,5,N
ORD0000063-02,ORD0000063,PRD0339,1,1,1261.33,1160.85,100.48,1160.85,892.45,268.4,6,N
ORD0000063-03,ORD0000063,PRD0006,1,1,98.39,92.1,6.29,92.1,56.07,36.03,1,N
ORD0000064-01,ORD0000064,PRD0140,3,3,221.27,198.51,68.28,595.53,448.95,146.58,12,N
ORD0000064-02,ORD0000064,PRD0114,1,1,35.69,33.89,1.8,33.89,20.1,13.79,0,Y
ORD0000064-03,ORD0000064,PRD0323,2,2,73.72,68.31,10.82,136.62,91.84,44.78,13,N
ORD0000064-04,ORD0000064,PRD0188,2,2,43.77,40.84,5.86,81.68,57.14,24.54,10,N
ORD0000064-05,ORD0000064,PRD0386,1,1,74.89,67.15,7.74,67.15,42.0,25.15,2,N
ORD0000064-06,ORD0000064,PRD0303,1,1,50.63,47.79,2.84,47.79,39.02,8.77,7,N
ORD0000065-01,ORD0000065,PRD0254,1,1,69.14,65.67,3.47,65.67,39.43,26.24,3,N
ORD0000065-02,ORD0000065,PRD0084,1,1,271.09,269.49,1.6,269.49,208.84,60.65,6,N
ORD0000066-01,ORD0000066,PRD0228,1,1,564.7,538.53,26.17,538.53,435.05,103.48,9,N
ORD0000066-02,ORD0000066,PRD0071,2,2,1251.96,1215.43,73.06,2430.86,1961.08,469.78,5,N
ORD0000066-03,ORD0000066,PRD0084,2,2,271.09,256.44,29.3,512.88,417.68,95.2,9,N
