order_date,store_id,shift,orders_received,delivered_orders,cancelled_orders,gross_order_value,net_revenue,avg_picking_minutes,avg_delivery_minutes,avg_customer_rating,stockout_line_items,planned_staff,present_staff,staff_absence_count,system_downtime_minutes,orders_per_staff_member,cancellation_rate_pct,sla_within_orders,sla_breach_orders,on_time_delivery_rate_pct
2026-04-01,MFC006,Night,2.0,1.0,1.0,3539.82,448.66,5.5,19.95,3.5,1.0,3,3,0,4,0.67,50.0,1,0,100.0
2026-04-01,MFC007,Morning,7.0,6.0,1.0,6737.44,6737.44,8.02,26.57,3.24,2.0,3,2,1,2,3.5,14.29,5,1,83.33
2026-04-01,MFC007,Evening,10.0,9.0,1.0,16226.99,15739.3,7.66,29.59,3.37,0.0,4,4,0,1,2.5,10.0,6,3,66.67
2026-04-01,MFC007,Night,1.0,1.0,0.0,2231.9,2231.9,3.15,16.33,4.2,0.0,3,3,0,2,0.33,0.0,1,0,100.0
2026-04-01,MFC008,Morning,8.0,6.0,1.0,7090.41,6376.36,5.35,20.66,3.75,2.0,3,3,0,2,2.67,12.5,6,0,100.0
2026-04-01,MFC008,Evening,9.0,9.0,0.0,8530.14,8048.82,5.4,22.59,3.09,4.0,4,4,0,3,2.25,0.0,8,1,88.89
2026-04-01,MFC008,Night,1.0,1.0,0.0,1088.41,1088.41,4.56,16.02,4.6,0.0,3,2,1,5,0.5,0.0,1,0,100.0
2026-04-01,MFC009,Morning,10.0,8.0,1.0,9624.96,8910.25,6.95,24.79,3.72,0.0,4,3,1,2,3.33,10.0,7,1,87.5
2026-04-01,MFC009,Evening,7.0,7.0,0.0,10616.11,10493.74,6.74,27.47,3.61,1.0,3,3,0,1,2.33,0.0,6,1,85.71
2026-04-01,MFC009,Night,2.0,2.0,0.0,3490.15,3490.15,6.5,22.54,2.8,0.0,3,3,0,1,0.67,0.0,2,0,100.0
2026-04-01,MFC010,Morning,6.0,6.0,0.0,4716.02,4618.8,6.48,23.03,3.22,1.0,3,3,0,3,2.0,0.0,5,1,83.33
2026-04-01,MFC010,Evening,8.0,8.0,0.0,8149.29,8149.29,8.27,30.26,3.59,0.0,3,3,0,4,2.67,0.0,4,4,50.0
2026-04-01,MFC010,Night,1.0,1.0,0.0,2398.95,2398.95,11.83,24.5,3.1,0.0,3,3,0,0,0.33,0.0,1,0,100.0
2026-04-01,MFC011,Morning,8.0,8.0,0.0,4192.85,4192.85,6.56,22.44,3.54,0.0,3,3,0,3,2.67,0.0,7,1,87.5
2026-04-01,MFC011,Evening,10.0,8.0,1.0,12743.07,10964.97,9.22,25.31,3.29,2.0,4,4,0,2,2.5,10.0,6,2,75.0
2026-04-01,MFC011,Night,3.0,3.0,0.0,3717.49,3717.49,9.01,23.31,3.63,0.0,3,3,0,5,1.0,0.0,2,1,66.67
2026-04-01,MFC012,Morning,5.0,4.0,0.0,2898.72,2898.72,7.3,25.73,3.58,0.0,3,3,0,1,1.67,0.0,2,2,50.0
2026-04-01,MFC012,Evening,4.0,4.0,0.0,3508.9,3508.9,4.55,22.79,3.38,0.0,3,3,0,2,1.33,0.0,4,0,100.0
2026-04-01,MFC012,Night,2.0,2.0,0.0,1817.54,1817.54,6.14,31.96,3.75,0.0,3,3,0,3,0.67,0.0,2,0,100.0
2026-04-01,MFC013,Morning,9.0,9.0,0.0,9550.0,9503.83,5.98,20.93,3.67,1.0,4,4,0,2,2.25,0.0,9,0,100.0
2026-04-01,MFC013,Evening,10.0,10.0,0.0,12931.83,12754.78,7.58,25.31,3.58,1.0,4,3,1,5,3.33,0.0,6,4,60.0
2026-04-01,MFC013,Night,3.0,3.0,0.0,3195.45,3060.69,7.23,21.27,3.3,1.0,3,3,0,2,1.0,0.0,3,0,100.0
2026-04-01,MFC014,Morning,4.0,4.0,0.0,4425.94,4425.94,4.26,19.58,3.88,0.0,3,3,0,1,1.33,0.0,4,0,100.0
2026-04-01,MFC014,Evening,5.0,5.0,0.0,7226.83,7092.93,7.52,24.07,3.92,1.0,3,3,0,2,1.67,0.0,4,1,80.0
2026-04-01,MFC014,Night,1.0,1.0,0.0,641.74,641.74,4.52,17.21,2.6,0.0,3,3,0,2,0.33,0.0,1,0,100.0
2026-04-01,MFC015,Morning,5.0,5.0,0.0,7180.26,7180.26,6.73,24.62,3.84,0.0,3,3,0,2,1.67,0.0,3,2,60.0
2026-04-01,MFC015,Evening,11.0,10.0,0.0,17602.45,17334.74,9.66,28.85,3.65,1.0,4,3,1,1,3.67,0.0,7,3,70.0
2026-04-01,MFC015,Night,1.0,1.0,0.0,970.78,970.78,7.63,18.57,4.0,0.0,3,3,0,3,0.33,0.0,1,0,100.0
2026-04-01,MFC016,Morning,4.0,3.0,0.0,3996.13,3846.75,9.22,26.26,3.57,1.0,3,2,1,1,2.0,0.0,3,0,100.0
2026-04-01,MFC016,Evening,9.0,8.0,1.0,14020.24,13229.7,7.51,24.33,3.42,2.0,4,4,0,2,2.25,11.11,6,2,75.0
2026-04-01,MFC016,Night,1.0,1.0,0.0,1905.27,1905.27,6.22,16.21,4.6,0.0,3,3,0,2,0.33,0.0,1,0,100.0
2026-04-01,MFC017,Morning,9.0,7.0,2.0,13303.77,8609.73,6.61,21.0,3.32,0.0,4,4,0,3,2.25,22.22,6,1,85.71
2026-04-01,MFC017,Evening,8.0,8.0,0.0,6560.2,6560.2,7.51,24.42,3.8,0.0,3,3,0,3,2.67,0.0,6,2,75.0
2026-04-01,MFC017,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,1,0.0,0.0,0,0,0.0
2026-04-01,MFC018,Morning,5.0,5.0,0.0,8261.03,8261.03,11.02,34.19,3.78,0.0,3,2,1,3,2.5,0.0,1,4,20.0
2026-04-01,MFC018,Evening,7.0,7.0,0.0,7758.04,7633.36,7.42,25.74,3.27,1.0,3,3,0,2,2.33,0.0,7,0,100.0
2026-04-01,MFC018,Night,1.0,1.0,0.0,2146.28,2146.28,10.32,38.02,3.1,0.0,3,2,1,2,0.5,0.0,0,1,0.0
2026-04-02,MFC001,Morning,4.0,2.0,2.0,3762.89,1786.06,7.72,26.42,3.47,0.0,3,3,0,2,1.33,50.0,2,0,100.0
2026-04-02,MFC001,Evening,11.0,9.0,2.0,8572.72,8047.04,7.28,25.61,3.49,1.0,4,3,1,0,3.67,18.18,6,3,66.67
2026-04-02,MFC001,Night,1.0,1.0,0.0,314.38,314.38,4.02,22.37,3.8,0.0,3,2,1,3,0.5,0.0,1,0,100.0
2026-04-02,MFC002,Morning,4.0,4.0,0.0,6761.37,6761.37,9.03,23.86,3.5,0.0,3,3,0,2,1.33,0.0,3,1,75.0
2026-04-02,MFC002,Evening,8.0,7.0,1.0,8459.38,8200.25,9.01,26.83,3.61,0.0,3,3,0,3,2.67,12.5,5,2,71.43
2026-04-02,MFC002,Night,3.0,3.0,0.0,7188.05,7188.05,5.11,23.05,3.53,0.0,3,2,1,4,1.5,0.0,3,0,100.0
2026-04-02,MFC003,Morning,5.0,5.0,0.0,6131.77,5705.92,6.77,24.66,3.18,3.0,3,3,0,31,1.67,0.0,4,1,80.0
2026-04-02,MFC003,Evening,6.0,6.0,0.0,4077.87,3778.33,6.87,24.74,3.3,2.0,3,3,0,1,2.0,0.0,6,0,100.0
2026-04-02,MFC003,Night,1.0,1.0,0.0,269.11,269.11,2.56,28.04,4.1,0.0,3,3,0,4,0.33,0.0,1,0,100.0
2026-04-02,MFC004,Morning,3.0,3.0,0.0,4970.23,4970.23,5.9,22.75,3.63,0.0,3,3,0,2,1.0,0.0,3,0,100.0
2026-04-02,MFC004,Evening,12.0,12.0,0.0,11090.3,10822.31,8.31,27.68,3.82,2.0,4,4,0,1,3.0,0.0,6,6,50.0
2026-04-02,MFC004,Night,1.0,1.0,0.0,2843.98,2843.98,8.98,20.54,3.5,0.0,3,3,0,0,0.33,0.0,1,0,100.0
2026-04-02,MFC005,Morning,8.0,8.0,0.0,9624.53,9068.7,8.71,25.12,3.74,1.0,3,3,0,4,2.67,0.0,6,2,75.0
2026-04-02,MFC005,Evening,7.0,6.0,1.0,14644.18,13471.44,10.4,28.62,3.4,2.0,3,3,0,2,2.33,14.29,4,2,66.67
2026-04-02,MFC005,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,0,0.0,0.0,0,0,0.0
2026-04-02,MFC006,Morning,5.0,4.0,1.0,3168.99,2300.92,6.08,23.28,4.08,0.0,3,3,0,4,1.67,20.0,3,1,75.0
2026-04-02,MFC006,Evening,8.0,8.0,0.0,12476.82,12025.53,8.7,25.93,3.16,3.0,3,3,0,0,2.67,0.0,4,4,50.0
2026-04-02,MFC006,Night,1.0,1.0,0.0,844.01,703.34,6.56,23.23,2.4,1.0,3,3,0,3,0.33,0.0,1,0,100.0
2026-04-02,MFC007,Morning,7.0,6.0,1.0,8738.2,5806.83,8.84,27.9,3.38,4.0,3,3,0,6,2.33,14.29,4,2,66.67
2026-04-02,MFC007,Evening,8.0,8.0,0.0,11977.84,9912.24,8.09,25.1,3.49,0.0,3,3,0,4,2.67,0.0,7,1,87.5
2026-04-02,MFC007,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-02,MFC008,Morning,6.0,6.0,0.0,9407.55,9407.55,5.36,22.64,3.57,0.0,3,3,0,4,2.0,0.0,6,0,100.0
2026-04-02,MFC008,Evening,7.0,6.0,1.0,6614.79,4373.68,5.62,24.72,3.36,0.0,3,3,0,1,2.33,14.29,5,1,83.33
2026-04-02,MFC008,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,1,0.0,0.0,0,0,0.0
2026-04-02,MFC009,Morning,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-02,MFC009,Evening,6.0,4.0,1.0,6633.06,5876.39,5.37,21.38,3.5,0.0,3,3,0,0,2.0,16.67,3,1,75.0
2026-04-02,MFC009,Night,3.0,3.0,0.0,1866.58,1866.58,4.29,21.34,3.7,0.0,3,3,0,2,1.0,0.0,3,0,100.0
2026-04-02,MFC010,Morning,4.0,4.0,0.0,2955.39,2812.67,5.64,25.26,3.65,1.0,3,3,0,2,1.33,0.0,3,1,75.0
2026-04-02,MFC010,Evening,2.0,2.0,0.0,4195.41,4195.41,9.6,30.38,3.6,0.0,3,3,0,3,0.67,0.0,2,0,100.0
2026-04-02,MFC010,Night,1.0,1.0,0.0,669.53,669.53,3.87,24.81,4.0,0.0,3,3,0,1,0.33,0.0,1,0,100.0
2026-04-02,MFC011,Morning,9.0,9.0,0.0,10955.06,10841.86,7.11,27.95,3.4,1.0,4,3,1,2,3.0,0.0,6,3,66.67
2026-04-02,MFC011,Evening,11.0,10.0,1.0,9405.43,8220.89,6.65,26.74,3.45,0.0,4,4,0,3,2.75,9.09,7,3,70.0
2026-04-02,MFC011,Night,3.0,3.0,0.0,2757.23,2757.23,5.92,24.34,3.17,0.0,3,3,0,3,1.0,0.0,3,0,100.0
2026-04-02,MFC012,Morning,3.0,3.0,0.0,1470.84,1470.84,5.9,29.15,3.77,0.0,3,3,0,2,1.0,0.0,3,0,100.0
2026-04-02,MFC012,Evening,6.0,5.0,1.0,4069.3,2077.57,6.67,22.35,3.7,1.0,3,3,0,2,2.0,16.67,5,0,100.0
2026-04-02,MFC012,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-02,MFC013,Morning,6.0,5.0,1.0,9876.63,9004.67,6.89,23.07,3.72,0.0,3,3,0,2,2.0,16.67,5,0,100.0
2026-04-02,MFC013,Evening,7.0,7.0,0.0,7675.04,7293.96,5.74,26.6,3.3,1.0,3,3,0,2,2.33,0.0,6,1,85.71
2026-04-02,MFC013,Night,3.0,3.0,0.0,1078.81,1078.81,2.85,15.58,3.43,0.0,3,3,0,2,1.0,0.0,3,0,100.0
2026-04-02,MFC014,Morning,7.0,6.0,0.0,4440.7,4440.7,4.93,19.29,3.5,0.0,3,2,1,2,3.5,0.0,6,0,100.0
2026-04-02,MFC014,Evening,9.0,9.0,0.0,13010.88,9463.3,7.83,30.56,3.59,0.0,4,4,0,2,2.25,0.0,6,3,66.67
2026-04-02,MFC014,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,2,1,27,0.0,0.0,0,0,0.0
2026-04-02,MFC015,Morning,3.0,3.0,0.0,6622.24,5150.93,10.8,26.78,2.93,2.0,3,3,0,2,1.0,0.0,1,2,33.33
2026-04-02,MFC015,Evening,11.0,9.0,1.0,10326.11,9964.7,7.8,25.59,3.36,2.0,4,4,0,3,2.75,9.09,8,1,88.89
2026-04-02,MFC015,Night,1.0,1.0,0.0,1518.8,1518.8,8.46,27.44,3.0,0.0,3,2,1,2,0.5,0.0,1,0,100.0
2026-04-02,MFC016,Morning,8.0,7.0,1.0,21594.06,10714.77,5.58,22.53,3.45,1.0,3,3,0,2,2.67,12.5,7,0,100.0
2026-04-02,MFC016,Evening,5.0,3.0,2.0,4660.83,2107.49,5.04,28.72,3.3,0.0,3,3,0,0,1.67,40.0,3,0,100.0
2026-04-02,MFC016,Night,1.0,1.0,0.0,846.75,846.75,8.02,20.23,4.8,0.0,3,2,1,2,0.5,0.0,1,0,100.0
2026-04-02,MFC017,Morning,8.0,7.0,0.0,9131.44,9131.44,7.88,24.98,3.69,0.0,3,3,0,2,2.67,0.0,5,2,71.43
2026-04-02,MFC017,Evening,8.0,8.0,0.0,12040.36,12040.36,6.61,20.86,4.06,0.0,3,3,0,4,2.67,0.0,7,1,87.5
2026-04-02,MFC017,Night,1.0,1.0,0.0,4646.42,4646.42,8.15,22.37,4.6,0.0,3,2,1,4,0.5,0.0,1,0,100.0
2026-04-02,MFC018,Morning,4.0,4.0,0.0,2079.39,2079.39,6.27,23.78,3.4,0.0,3,2,1,5,2.0,0.0,3,1,75.0
2026-04-02,MFC018,Evening,6.0,6.0,0.0,6884.71,6750.51,7.95,27.49,3.62,1.0,3,3,0,4,2.0,0.0,3,3,50.0
2026-04-02,MFC018,Night,1.0,1.0,0.0,912.37,912.37,11.23,24.46,3.4,0.0,3,3,0,3,0.33,0.0,1,0,100.0
2026-04-03,MFC001,Morning,3.0,3.0,0.0,2508.62,2508.62,5.55,22.59,4.2,0.0,3,2,1,4,1.5,0.0,2,1,66.67
2026-04-03,MFC001,Evening,3.0,3.0,0.0,3597.36,3597.36,7.64,23.88,3.47,0.0,3,3,0,4,1.0,0.0,2,1,66.67
2026-04-03,MFC001,Night,1.0,1.0,0.0,790.6,790.6,10.6,29.16,3.7,0.0,3,3,0,2,0.33,0.0,0,1,0.0
2026-04-03,MFC002,Morning,3.0,3.0,0.0,1513.37,1513.37,7.32,24.2,3.67,0.0,3,3,0,0,1.0,0.0,2,1,66.67
2026-04-03,MFC002,Evening,5.0,5.0,0.0,10274.46,10274.46,9.74,25.55,3.9,0.0,3,3,0,4,1.67,0.0,5,0,100.0
2026-04-03,MFC002,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-03,MFC003,Morning,5.0,5.0,0.0,5026.54,4508.0,7.09,26.16,3.14,3.0,3,3,0,2,1.67,0.0,4,1,80.0
2026-04-03,MFC003,Evening,11.0,11.0,0.0,18072.08,17975.67,6.75,25.92,3.61,0.0,4,4,0,2,2.75,0.0,8,3,72.73
2026-04-03,MFC003,Night,1.0,1.0,0.0,309.45,309.45,4.61,15.62,3.1,0.0,3,2,1,1,0.5,0.0,1,0,100.0
2026-04-03,MFC004,Morning,3.0,3.0,0.0,6030.11,6030.11,7.6,32.3,3.5,0.0,3,3,0,5,1.0,0.0,2,1,66.67
2026-04-03,MFC004,Evening,13.0,11.0,2.0,17187.41,15734.8,10.08,30.19,3.77,1.0,4,3,1,1,4.33,15.38,5,6,45.45
2026-04-03,MFC004,Night,1.0,1.0,0.0,1248.01,1248.01,8.52,20.85,3.1,0.0,3,3,0,5,0.33,0.0,1,0,100.0
2026-04-03,MFC005,Morning,12.0,10.0,2.0,14459.79,10598.67,7.63,25.46,3.32,3.0,4,4,0,2,3.0,16.67,7,3,70.0
2026-04-03,MFC005,Evening,14.0,11.0,3.0,12097.98,10403.42,6.82,29.83,3.4,2.0,4,4,0,3,3.5,21.43,8,3,72.73
2026-04-03,MFC005,Night,3.0,3.0,0.0,4327.53,4327.53,4.93,15.65,4.27,0.0,3,3,0,4,1.0,0.0,3,0,100.0
2026-04-03,MFC006,Morning,3.0,3.0,0.0,4789.16,4164.22,7.73,20.56,3.53,1.0,3,3,0,1,1.0,0.0,3,0,100.0
2026-04-03,MFC006,Evening,5.0,5.0,0.0,3549.76,3295.7,9.84,28.55,3.06,3.0,3,3,0,1,1.67,0.0,2,3,40.0
2026-04-03,MFC006,Night,1.0,1.0,0.0,368.97,368.97,6.44,25.63,4.1,0.0,3,3,0,2,0.33,0.0,1,0,100.0
2026-04-03,MFC007,Morning,4.0,4.0,0.0,3740.24,3740.24,6.15,22.66,3.92,0.0,3,3,0,4,1.33,0.0,3,1,75.0
2026-04-03,MFC007,Evening,4.0,4.0,0.0,3926.93,3788.65,7.2,26.08,3.38,1.0,3,3,0,2,1.33,0.0,2,2,50.0
2026-04-03,MFC007,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-03,MFC008,Morning,12.0,11.0,1.0,7072.26,7072.26,5.31,22.29,3.27,1.0,4,4,0,1,3.0,8.33,9,2,81.82
2026-04-03,MFC008,Evening,11.0,11.0,0.0,15186.24,13122.33,7.86,27.96,3.24,0.0,4,4,0,1,2.75,0.0,7,4,63.64
2026-04-03,MFC008,Night,2.0,2.0,0.0,1599.41,1523.35,4.73,17.74,3.25,1.0,3,3,0,1,0.67,0.0,2,0,100.0
2026-04-03,MFC009,Morning,5.0,4.0,1.0,7186.83,6844.84,7.48,25.06,3.48,0.0,3,3,0,4,1.67,20.0,2,2,50.0
2026-04-03,MFC009,Evening,9.0,7.0,2.0,15561.5,11340.1,7.66,23.41,3.28,2.0,4,2,2,4,4.5,22.22,5,2,71.43
2026-04-03,MFC009,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-03,MFC010,Morning,2.0,2.0,0.0,1020.16,1020.16,5.18,27.72,3.65,0.0,3,3,0,2,0.67,0.0,1,1,50.0
2026-04-03,MFC010,Evening,9.0,9.0,0.0,13042.08,12958.44,8.0,26.92,3.62,1.0,4,3,1,2,3.0,0.0,5,4,55.56
2026-04-03,MFC010,Night,2.0,2.0,0.0,2907.58,2907.58,7.9,23.7,3.85,0.0,3,3,0,0,0.67,0.0,1,1,50.0
2026-04-03,MFC011,Morning,6.0,4.0,1.0,6072.54,5798.9,8.77,26.38,3.45,0.0,3,2,1,3,3.0,16.67,3,1,75.0
2026-04-03,MFC011,Evening,11.0,8.0,2.0,21216.56,19375.34,7.7,22.56,3.46,4.0,4,3,1,6,3.67,18.18,7,1,87.5
2026-04-03,MFC011,Night,5.0,4.0,1.0,12661.0,11520.89,7.98,25.68,3.3,0.0,3,3,0,3,1.67,20.0,4,0,100.0
2026-04-03,MFC012,Morning,2.0,2.0,0.0,1103.45,976.22,6.1,20.8,2.9,1.0,3,3,0,4,0.67,0.0,2,0,100.0
2026-04-03,MFC012,Evening,8.0,8.0,0.0,8239.37,8239.37,7.57,24.33,3.76,0.0,3,3,0,2,2.67,0.0,8,0,100.0
2026-04-03,MFC012,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,3,0.0,0.0,0,0,0.0
2026-04-03,MFC013,Morning,11.0,10.0,1.0,12613.17,8985.51,6.84,24.35,3.54,1.0,4,4,0,0,2.75,9.09,8,2,80.0
2026-04-03,MFC013,Evening,9.0,8.0,1.0,16881.74,14947.44,8.23,28.13,3.24,2.0,4,4,0,3,2.25,11.11,6,2,75.0
2026-04-03,MFC013,Night,2.0,2.0,0.0,4655.22,4655.22,6.41,23.34,3.35,0.0,3,3,0,5,0.67,0.0,2,0,100.0
2026-04-03,MFC014,Morning,5.0,5.0,0.0,7735.92,7735.92,6.51,25.5,3.46,0.0,3,3,0,18,1.67,0.0,4,1,80.0
2026-04-03,MFC014,Evening,5.0,5.0,0.0,3764.5,3764.5,4.8,21.39,4.2,0.0,3,3,0,5,1.67,0.0,4,1,80.0
2026-04-03,MFC014,Night,2.0,2.0,0.0,1347.11,1347.11,6.1,20.36,3.95,0.0,3,3,0,1,0.67,0.0,2,0,100.0
2026-04-03,MFC015,Morning,6.0,6.0,0.0,11151.23,10063.84,11.39,29.03,3.68,3.0,3,3,0,2,2.0,0.0,4,2,66.67
2026-04-03,MFC015,Evening,9.0,9.0,0.0,15786.84,15070.01,9.28,27.43,3.39,4.0,4,4,0,2,2.25,0.0,7,2,77.78
2026-04-03,MFC015,Night,3.0,2.0,0.0,4049.78,4049.78,5.62,20.23,3.95,0.0,3,3,0,6,1.0,0.0,2,0,100.0
2026-04-03,MFC016,Morning,5.0,5.0,0.0,7836.18,7836.18,6.36,23.39,3.52,0.0,3,3,0,3,1.67,0.0,5,0,100.0
2026-04-03,MFC016,Evening,12.0,11.0,1.0,14731.06,11136.6,6.94,23.0,3.07,3.0,4,4,0,2,3.0,8.33,9,2,81.82
2026-04-03,MFC016,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-03,MFC017,Morning,5.0,5.0,0.0,4906.86,4673.18,8.5,29.74,3.52,1.0,3,2,1,3,2.5,0.0,3,2,60.0
2026-04-03,MFC017,Evening,5.0,5.0,0.0,3583.52,3583.52,7.4,24.87,3.66,0.0,3,3,0,3,1.67,0.0,3,2,60.0
2026-04-03,MFC017,Night,3.0,3.0,0.0,5028.82,5028.82,4.96,17.62,4.03,0.0,3,3,0,3,1.0,0.0,3,0,100.0
2026-04-03,MFC018,Morning,4.0,3.0,1.0,7930.91,7930.91,10.28,25.8,3.77,0.0,3,3,0,2,1.33,25.0,3,0,100.0
2026-04-03,MFC018,Evening,8.0,8.0,0.0,7662.82,7135.33,7.48,23.47,3.16,2.0,3,3,0,4,2.67,0.0,5,3,62.5
2026-04-03,MFC018,Night,2.0,2.0,0.0,5157.73,5157.73,9.2,25.9,3.75,0.0,3,2,1,1,1.0,0.0,2,0,100.0
2026-04-04,MFC001,Morning,7.0,5.0,2.0,9810.35,7446.13,7.87,25.46,3.33,2.0,3,3,0,0,2.33,28.57,3,2,60.0
2026-04-04,MFC001,Evening,10.0,10.0,0.0,19483.17,18989.72,7.56,25.33,3.51,2.0,4,3,1,1,3.33,0.0,9,1,90.0
2026-04-04,MFC001,Night,2.0,1.0,0.0,2687.33,2687.33,6.66,22.73,3.0,0.0,3,3,0,1,0.67,0.0,1,0,100.0
2026-04-04,MFC002,Morning,5.0,5.0,0.0,13766.85,13766.85,8.5,28.51,3.8,0.0,3,3,0,5,1.67,0.0,3,2,60.0
2026-04-04,MFC002,Evening,11.0,9.0,2.0,14392.36,13936.1,10.1,29.3,3.46,2.0,4,4,0,4,2.75,18.18,6,3,66.67
2026-04-04,MFC002,Night,1.0,1.0,0.0,1023.41,1023.41,2.36,19.89,3.5,0.0,3,3,0,3,0.33,0.0,1,0,100.0
2026-04-04,MFC003,Morning,9.0,9.0,0.0,9783.13,9633.71,6.65,24.27,3.57,1.0,4,4,0,3,2.25,0.0,6,3,66.67
2026-04-04,MFC003,Evening,11.0,10.0,1.0,10461.8,8913.22,7.47,26.23,3.45,1.0,4,4,0,1,2.75,9.09,8,2,80.0
2026-04-04,MFC003,Night,1.0,1.0,0.0,1364.84,1364.84,4.11,19.68,4.0,0.0,3,2,1,1,0.5,0.0,1,0,100.0
2026-04-04,MFC004,Morning,4.0,4.0,0.0,10958.64,10958.64,7.57,23.38,3.68,0.0,3,3,0,0,1.33,0.0,4,0,100.0
2026-04-04,MFC004,Evening,1.0,1.0,0.0,1029.27,771.95,13.74,27.33,2.6,1.0,3,3,0,1,0.33,0.0,1,0,100.0
2026-04-04,MFC004,Night,0.0,0.0,0.0,0.0,0.0,,,,0.0,3,3,0,2,0.0,0.0,0,0,0.0
2026-04-04,MFC005,Morning,9.0,9.0,0.0,8820.14,7922.78,8.71,24.5,3.42,3.0,4,3,1,1,3.0,0.0,6,3,66.67
2026-04-04,MFC005,Evening,10.0,8.0,1.0,9805.54,7195.73,7.3,27.58,3.36,1.0,4,4,0,1,2.5,10.0,5,3,62.5
2026-04-04,MFC005,Night,1.0,1.0,0.0,945.13,756.1,8.25,27.43,2.9,1.0,3,3,0,3,0.33,0.0,1,0,100.0
2026-04-04,MFC006,Morning,3.0,2.0,1.0,4010.31,3303.86,6.7,18.89,3.87,0.0,3,3,0,3,1.0,33.33,2,0,100.0
